instance_id,status,file_recall,file_precision,used_tokens,nontrivial_file_recall,repo,language
polybench500::Significant-Gravitas__AutoGPT-4652,ok,1.0,1.0,1763,,Significant-Gravitas/AutoGPT,python
polybench500::apache__dubbo-3013,ok,0.7777777777777778,1.0,6080,,apache/dubbo,java
polybench500::apache__dubbo-4521,ok,1.0,1.0,6821,,apache/dubbo,java
polybench500::apache__dubbo-5356,ok,0.5,1.0,7563,,apache/dubbo,java
polybench500::apache__dubbo-11420,ok,0.75,1.0,5895,,apache/dubbo,java
polybench500::apache__dubbo-3590,ok,0.6666666666666666,1.0,6101,,apache/dubbo,java
polybench500::apache__dubbo-3093,apply_fail,0.0,0.0,0,,,java
polybench500::apache__dubbo-2750,ok,1.0,1.0,6711,,apache/dubbo,java
polybench500::angular__angular-37561,ok,1.0,1.0,7018,,angular/angular,typescript
polybench500::angular__angular-37484,ok,1.0,1.0,2133,,angular/angular,typescript
polybench500::apache__dubbo-8126,ok,1.0,1.0,1897,,apache/dubbo,java
polybench500::apache__dubbo-6551,ok,1.0,1.0,5719,,apache/dubbo,java
polybench500::apache__dubbo-3479,apply_fail,0.0,0.0,0,,,java
polybench500::apache__dubbo-10846,ok,1.0,1.0,2670,,apache/dubbo,java
polybench500::apache__dubbo-8032,ok,0.3333333333333333,1.0,4240,,apache/dubbo,java
polybench500::apache__dubbo-5783,ok,1.0,1.0,1697,,apache/dubbo,java
polybench500::apache__dubbo-3855,ok,1.0,1.0,2409,,apache/dubbo,java
polybench500::apache__dubbo-4660,ok,1.0,1.0,5725,,apache/dubbo,java
polybench500::apache__dubbo-4379,ok,1.0,1.0,5804,,apache/dubbo,java
polybench500::apache__dubbo-7938,ok,0.5,1.0,997,,apache/dubbo,java
polybench500::apache__dubbo-13869,ok,1.0,1.0,2363,,apache/dubbo,java
polybench500::apache__dubbo-4026,ok,1.0,1.0,5215,,apache/dubbo,java
polybench500::apache__dubbo-8623,apply_fail,0.0,0.0,0,,,java
polybench500::apache__dubbo-11255,ok,1.0,1.0,1486,,apache/dubbo,java
polybench500::apache__dubbo-8029,ok,1.0,1.0,5744,,apache/dubbo,java
polybench500::apache__rocketmq-3862,ok,1.0,1.0,5506,,apache/rocketmq,java
polybench500::apache__rocketmq-8051,ok,0.4,1.0,6395,,apache/rocketmq,java
polybench500::apache__rocketmq-516,ok,1.0,1.0,2189,,apache/rocketmq,java
polybench500::apache__rocketmq-1636,ok,1.0,1.0,1008,,apache/rocketmq,java
polybench500::apache__rocketmq-7420,ok,1.0,1.0,556,,apache/rocketmq,java
polybench500::apache__rocketmq-7544,ok,0.35714285714285715,1.0,6532,,apache/rocketmq,java
polybench500::apache__rocketmq-3927,ok,1.0,1.0,7194,,apache/rocketmq,java
polybench500::apache__rocketmq-7917,ok,1.0,1.0,4026,,apache/rocketmq,java
polybench500::apache__rocketmq-6401,ok,0.75,1.0,5122,,apache/rocketmq,java
polybench500::apache__rocketmq-5062,ok,0.75,1.0,7629,,apache/rocketmq,java
polybench500::apache__rocketmq-6755,ok,0.4444444444444444,1.0,6620,,apache/rocketmq,java
polybench500::apache__rocketmq-5834,ok,0.375,1.0,7186,,apache/rocketmq,java
polybench500::apache__rocketmq-5865,ok,1.0,1.0,3937,,apache/rocketmq,java
polybench500::apache__rocketmq-7455,ok,0.5,1.0,4593,,apache/rocketmq,java
polybench500::apache__rocketmq-7712,ok,1.0,1.0,5661,,apache/rocketmq,java
polybench500::apache__rocketmq-4763,ok,0.6666666666666666,1.0,2070,,apache/rocketmq,java
polybench500::apache__rocketmq-7655,ok,1.0,1.0,685,,apache/rocketmq,java
polybench500::apache__rocketmq-4504,ok,0.0,0.0,0,,apache/rocketmq,java
polybench500::apache__rocketmq-6455,ok,0.42857142857142855,1.0,4771,,apache/rocketmq,java
polybench500::apache__rocketmq-5706,ok,1.0,1.0,6606,,apache/rocketmq,java
polybench500::apache__rocketmq-5008,ok,0.7142857142857143,1.0,6343,,apache/rocketmq,java
