instance_id,status,file_recall,file_precision,used_tokens,nontrivial_file_recall,repo,language
swebench_verified::astropy__astropy-7166,ok,0.0,0.0,7997,,astropy/astropy,python
swebench_verified::astropy__astropy-7606,ok,0.0,0.0,8000,,astropy/astropy,python
swebench_verified::astropy__astropy-13579,ok,1.0,0.1,7983,,astropy/astropy,python
swebench_verified::astropy__astropy-13033,ok,1.0,0.25,7997,,astropy/astropy,python
swebench_verified::astropy__astropy-13453,ok,1.0,0.16666666666666666,8000,,astropy/astropy,python
swebench_verified::astropy__astropy-14096,ok,0.0,0.0,7992,,astropy/astropy,python
swebench_verified::astropy__astropy-13977,ok,0.0,0.0,8000,,astropy/astropy,python
swebench_verified::astropy__astropy-14598,ok,0.0,0.0,7991,,astropy/astropy,python
swebench_verified::astropy__astropy-13236,ok,0.0,0.0,7996,,astropy/astropy,python
swebench_verified::astropy__astropy-14365,ok,1.0,0.2,7999,,astropy/astropy,python
swebench_verified::astropy__astropy-7336,ok,1.0,0.16666666666666666,7995,,astropy/astropy,python
swebench_verified::astropy__astropy-13398,ok,0.75,0.42857142857142855,7999,,astropy/astropy,python
swebench_verified::astropy__astropy-14508,ok,0.0,0.0,7995,,astropy/astropy,python
swebench_verified::astropy__astropy-14995,ok,1.0,0.14285714285714285,7998,,astropy/astropy,python
swebench_verified::astropy__astropy-14182,ok,1.0,0.125,8000,,astropy/astropy,python
swebench_verified::astropy__astropy-7671,ok,1.0,0.2,8000,,astropy/astropy,python
swebench_verified::astropy__astropy-8872,ok,0.0,0.0,7988,,astropy/astropy,python
swebench_verified::astropy__astropy-8707,ok,0.0,0.0,7998,,astropy/astropy,python
swebench_verified::astropy__astropy-14539,ok,0.0,0.0,7994,,astropy/astropy,python
swebench_verified::astropy__astropy-14309,ok,1.0,0.125,7990,,astropy/astropy,python
swebench_verified::astropy__astropy-12907,ok,1.0,0.16666666666666666,7991,,astropy/astropy,python
swebench_verified::astropy__astropy-14369,ok,1.0,0.4,8000,,astropy/astropy,python
swebench_verified::django__django-11740,ok,0.0,0.0,8000,,django/django,python
swebench_verified::django__django-14787,ok,1.0,0.2,8000,,django/django,python
swebench_verified::django__django-14672,ok,1.0,0.1111111111111111,7993,,django/django,python
swebench_verified::django__django-11885,ok,1.0,0.4,8000,,django/django,python
swebench_verified::django__django-11728,ok,1.0,0.125,8000,,django/django,python
swebench_verified::django__django-16667,ok,0.0,0.0,8000,,django/django,python
swebench_verified::django__django-11880,ok,0.0,0.0,7998,,django/django,python
swebench_verified::django__django-14351,ok,1.0,0.2,8000,,django/django,python
swebench_verified::django__django-13658,ok,1.0,0.2,8000,,django/django,python
swebench_verified::django__django-13112,ok,0.0,0.0,8000,,django/django,python
swebench_verified::django__django-15268,ok,1.0,0.14285714285714285,7999,,django/django,python
swebench_verified::django__django-15278,ok,1.0,0.16666666666666666,8000,,django/django,python
swebench_verified::django__django-14725,ok,0.0,0.0,8000,,django/django,python
swebench_verified::django__django-16819,ok,1.0,0.3333333333333333,7999,,django/django,python
swebench_verified::django__django-15572,ok,1.0,0.09090909090909091,8000,,django/django,python
swebench_verified::django__django-16032,ok,0.5,0.16666666666666666,7999,,django/django,python
swebench_verified::django__django-13925,ok,0.0,0.0,7999,,django/django,python
swebench_verified::django__django-16662,ok,1.0,0.2,7998,,django/django,python
swebench_verified::django__django-16938,ok,1.0,0.2857142857142857,7997,,django/django,python
swebench_verified::django__django-16454,ok,1.0,0.2,8000,,django/django,python
swebench_verified::django__django-10554,ok,0.0,0.0,7998,,django/django,python
swebench_verified::django__django-14053,ok,1.0,0.16666666666666666,8000,,django/django,python
swebench_verified::django__django-13195,ok,1.0,0.375,7998,,django/django,python
swebench_verified::django__django-14315,ok,1.0,0.10526315789473684,7999,,django/django,python
