instance_id,status,file_recall,file_precision,used_tokens,nontrivial_file_recall,repo,language
polybench500::Significant-Gravitas__AutoGPT-4652,ok,1.0,0.25,1445,,Significant-Gravitas/AutoGPT,python
polybench500::apache__dubbo-4521,ok,1.0,0.2857142857142857,2597,,apache/dubbo,java
polybench500::apache__dubbo-3013,ok,1.0,0.6,5638,,apache/dubbo,java
polybench500::apache__dubbo-2750,ok,1.0,0.125,633,,apache/dubbo,java
polybench500::apache__dubbo-3093,apply_fail,0.0,0.0,0,,apache/dubbo,java
polybench500::angular__angular-37561,ok,1.0,0.1,842,,angular/angular,typescript
polybench500::apache__dubbo-11420,ok,1.0,0.5714285714285714,4392,,apache/dubbo,java
polybench500::apache__dubbo-3590,ok,1.0,0.125,2649,,apache/dubbo,java
polybench500::apache__dubbo-5356,ok,1.0,1.0,6119,,apache/dubbo,java
polybench500::angular__angular-37484,ok,1.0,0.18181818181818182,893,,angular/angular,typescript
polybench500::apache__dubbo-3479,apply_fail,0.0,0.0,0,,apache/dubbo,java
polybench500::apache__dubbo-6551,ok,1.0,0.058823529411764705,2077,,apache/dubbo,java
polybench500::apache__dubbo-8126,ok,1.0,0.14285714285714285,1864,,apache/dubbo,java
polybench500::apache__dubbo-3855,ok,1.0,0.2,1457,,apache/dubbo,java
polybench500::apache__dubbo-4379,ok,1.0,0.3333333333333333,3338,,apache/dubbo,java
polybench500::apache__dubbo-5783,ok,1.0,0.25,2322,,apache/dubbo,java
polybench500::apache__dubbo-4660,ok,1.0,0.2222222222222222,1927,,apache/dubbo,java
polybench500::apache__dubbo-8032,ok,1.0,0.3333333333333333,3223,,apache/dubbo,java
polybench500::apache__dubbo-10846,ok,1.0,0.25,2289,,apache/dubbo,java
polybench500::apache__dubbo-8623,apply_fail,0.0,0.0,0,,apache/dubbo,java
polybench500::apache__dubbo-4026,ok,1.0,0.07692307692307693,1956,,apache/dubbo,java
polybench500::apache__dubbo-13869,ok,1.0,0.06451612903225806,3319,,apache/dubbo,java
polybench500::apache__dubbo-7938,ok,1.0,0.2222222222222222,2994,,apache/dubbo,java
polybench500::apache__dubbo-8029,ok,1.0,0.23076923076923078,4501,,apache/dubbo,java
polybench500::apache__dubbo-11255,ok,1.0,0.25,1782,,apache/dubbo,java
polybench500::apache__rocketmq-8051,ok,1.0,0.3333333333333333,4455,,apache/rocketmq,java
polybench500::apache__rocketmq-516,ok,1.0,0.2,2119,,apache/rocketmq,java
polybench500::apache__rocketmq-1636,ok,1.0,0.03333333333333333,3557,,apache/rocketmq,java
polybench500::apache__rocketmq-3862,ok,1.0,0.25,3054,,apache/rocketmq,java
polybench500::apache__rocketmq-7544,ok,1.0,0.7,5674,,apache/rocketmq,java
polybench500::apache__rocketmq-7420,ok,1.0,0.4,488,,apache/rocketmq,java
polybench500::apache__rocketmq-3927,ok,1.0,0.25,3723,,apache/rocketmq,java
polybench500::apache__rocketmq-5834,ok,1.0,0.8,7092,,apache/rocketmq,java
polybench500::apache__rocketmq-5062,ok,1.0,0.8,2884,,apache/rocketmq,java
polybench500::apache__rocketmq-6401,ok,1.0,0.125,5160,,apache/rocketmq,java
polybench500::apache__rocketmq-7917,ok,1.0,0.09090909090909091,1898,,apache/rocketmq,java
polybench500::apache__rocketmq-6755,ok,1.0,0.8181818181818182,5774,,apache/rocketmq,java
polybench500::apache__rocketmq-7455,ok,1.0,0.13333333333333333,3182,,apache/rocketmq,java
polybench500::apache__rocketmq-5865,ok,1.0,0.25,2594,,apache/rocketmq,java
polybench500::apache__rocketmq-4763,ok,1.0,0.5,3903,,apache/rocketmq,java
polybench500::apache__rocketmq-4504,ok,1.0,0.1111111111111111,2318,,apache/rocketmq,java
polybench500::apache__rocketmq-7712,ok,1.0,0.2,952,,apache/rocketmq,java
polybench500::apache__rocketmq-6455,ok,1.0,1.0,6988,,apache/rocketmq,java
polybench500::apache__rocketmq-7655,ok,1.0,0.125,899,,apache/rocketmq,java
polybench500::apache__rocketmq-5008,ok,1.0,0.5833333333333334,4917,,apache/rocketmq,java
polybench500::apache__rocketmq-5706,ok,1.0,0.6,2637,,apache/rocketmq,java
polybench500::apache__rocketmq-3881,ok,1.0,0.4,6326,,apache/rocketmq,java
polybench500::apache__rocketmq-5196,ok,1.0,0.1111111111111111,1849,,apache/rocketmq,java
polybench500::apache__rocketmq-7426,ok,1.0,0.1,1541,,apache/rocketmq,java
polybench500::apache__rocketmq-7964,ok,1.0,0.058823529411764705,2229,,apache/rocketmq,java
polybench500::apache__rocketmq-3958,ok,1.0,0.25,1114,,apache/rocketmq,java
polybench500::apache__rocketmq-1742,ok,1.0,0.15384615384615385,3427,,apache/rocketmq,java
polybench500::apache__rocketmq-5286,ok,1.0,0.3333333333333333,3332,,apache/rocketmq,java
polybench500::apache__rocketmq-4457,ok,1.0,0.1111111111111111,2204,,apache/rocketmq,java
polybench500::apache__rocketmq-4122,ok,1.0,0.4,4387,,apache/rocketmq,java
polybench500::apache__rocketmq-5037,ok,1.0,0.18181818181818182,3708,,apache/rocketmq,java
polybench500::apache__rocketmq-5633,ok,1.0,0.14285714285714285,2202,,apache/rocketmq,java
polybench500::apolloconfig__apollo-4568,ok,1.0,0.14285714285714285,1714,,apolloconfig/apollo,java
polybench500::apache__rocketmq-6522,ok,1.0,0.9444444444444444,6600,,apache/rocketmq,java
polybench500::apache__rocketmq-6651,ok,1.0,0.07692307692307693,2540,,apache/rocketmq,java
polybench500::apolloconfig__apollo-4199,ok,1.0,0.4,3856,,apolloconfig/apollo,java
polybench500::apolloconfig__apollo-4464,ok,1.0,1.0,4947,,apolloconfig/apollo,java
polybench500::coder__code-server-4678,ok,0.9166666666666666,0.4074074074074074,5746,,coder/code-server,typescript
polybench500::apolloconfig__apollo-4207,ok,1.0,0.2,3362,,apolloconfig/apollo,java
polybench500::coder__code-server-5633,ok,1.0,0.23076923076923078,2619,,coder/code-server,typescript
polybench500::apolloconfig__apollo-1894,ok,1.0,0.1111111111111111,1310,,apolloconfig/apollo,java
polybench500::coder__code-server-6225,ok,1.0,0.29411764705882354,6240,,coder/code-server,typescript
polybench500::coder__code-server-4923,ok,1.0,0.25,3345,,coder/code-server,typescript
polybench500::coder__code-server-6423,ok,1.0,0.16666666666666666,654,,coder/code-server,typescript
polybench500::coder__code-server-4597,ok,1.0,0.2916666666666667,4467,,coder/code-server,typescript
polybench500::apolloconfig__apollo-4119,ok,1.0,0.625,2963,,apolloconfig/apollo,java
polybench500::coder__code-server-6115,ok,1.0,0.2,1171,,coder/code-server,typescript
polybench500::google__gson-2337,ok,1.0,0.125,1271,,google/gson,java
polybench500::google__gson-2130,ok,1.0,0.2,719,,google/gson,java
polybench500::google__gson-769,ok,1.0,0.25,2552,,google/gson,java
polybench500::google__gson-2178,ok,1.0,0.6,5031,,google/gson,java
polybench500::google__gson-2153,ok,1.0,0.07692307692307693,3764,,google/gson,java
polybench500::google__gson-2498,ok,1.0,0.14285714285714285,4205,,google/gson,java
polybench500::google__gson-2479,ok,1.0,0.08,5617,,google/gson,java
polybench500::google__gson-2435,ok,1.0,0.5,6126,,google/gson,java
polybench500::google__gson-2376,apply_fail,0.0,0.0,0,,google/gson,java
polybench500::google__gson-1832,ok,1.0,0.2,6398,,google/gson,java
polybench500::google__gson-2549,ok,1.0,0.15789473684210525,4274,,google/gson,java
polybench500::google__gson-1703,ok,1.0,0.125,567,,google/gson,java
polybench500::google__gson-2134,ok,1.0,0.2,2414,,google/gson,java
polybench500::google__gson-2475,ok,1.0,0.2,890,,google/gson,java
polybench500::google__gson-2061,ok,1.0,0.13333333333333333,4608,,google/gson,java
polybench500::google__gson-2420,apply_fail,0.0,0.0,0,,google/gson,java
polybench500::google__gson-1904,ok,1.0,0.2777777777777778,5613,,google/gson,java
polybench500::google__gson-2701,ok,1.0,0.3333333333333333,2199,,google/gson,java
polybench500::google__gson-2167,ok,1.0,0.2,2560,,google/gson,java
polybench500::google__gson-2364,ok,1.0,0.09090909090909091,872,,google/gson,java
polybench500::google__gson-2004,ok,1.0,0.07142857142857142,2636,,google/gson,java
polybench500::google__gson-2556,ok,1.0,0.16,5240,,google/gson,java
polybench500::google__gson-2410,ok,1.0,0.2692307692307692,6275,,google/gson,java
polybench500::google__gson-2476,ok,1.0,0.3333333333333333,960,,google/gson,java
polybench500::google__gson-2345,ok,1.0,0.2857142857142857,5680,,google/gson,java
polybench500::google__gson-2071,ok,1.0,0.07142857142857142,2246,,google/gson,java
polybench500::huggingface__transformers-25636,ok,1.0,0.05,1762,,huggingface/transformers,python
polybench500::huggingface__transformers-25358,ok,1.0,0.047619047619047616,1760,,huggingface/transformers,python
polybench500::huggingface__transformers-28535,ok,1.0,0.08333333333333333,1669,,huggingface/transformers,python
polybench500::google__guava-3971,ok,1.0,0.16666666666666666,2573,,google/guava,java
polybench500::huggingface__transformers-22920,ok,1.0,0.2,3206,,huggingface/transformers,python
polybench500::huggingface__transformers-30772,ok,1.0,0.6,7001,,huggingface/transformers,python
polybench500::huggingface__transformers-3198,ok,1.0,0.058823529411764705,3042,,huggingface/transformers,python
polybench500::huggingface__transformers-7075,ok,1.0,1.0,5299,,huggingface/transformers,python
polybench500::huggingface__transformers-28563,ok,1.0,1.0,3140,,huggingface/transformers,python
polybench500::huggingface__transformers-13919,ok,1.0,0.2222222222222222,2322,,huggingface/transformers,python
polybench500::huggingface__transformers-7272,ok,0.3333333333333333,0.625,7661,,huggingface/transformers,python
polybench500::huggingface__transformers-28522,ok,1.0,0.06172839506172839,2532,,huggingface/transformers,python
polybench500::huggingface__transformers-19219,ok,1.0,0.025,3802,,huggingface/transformers,python
polybench500::huggingface__transformers-13436,ok,1.0,0.15789473684210525,3160,,huggingface/transformers,python
polybench500::huggingface__transformers-31128,ok,1.0,0.08333333333333333,4350,,huggingface/transformers,python
polybench500::huggingface__transformers-16661,ok,1.0,0.125,1108,,huggingface/transformers,python
polybench500::huggingface__transformers-13865,ok,1.0,0.08333333333333333,2972,,huggingface/transformers,python
polybench500::huggingface__transformers-27463,ok,1.0,0.5,4813,,huggingface/transformers,python
polybench500::huggingface__transformers-19590,ok,1.0,0.16666666666666666,2654,,huggingface/transformers,python
polybench500::huggingface__transformers-8435,ok,1.0,0.25,474,,huggingface/transformers,python
polybench500::huggingface__transformers-15913,ok,1.0,0.5,1788,,huggingface/transformers,python
polybench500::huggingface__transformers-6744,ok,0.6666666666666666,0.25,5095,,huggingface/transformers,python
polybench500::huggingface__transformers-7562,ok,0.6666666666666666,1.0,7149,,huggingface/transformers,python
polybench500::huggingface__transformers-13989,ok,1.0,0.5714285714285714,5530,,huggingface/transformers,python
polybench500::huggingface__transformers-13573,ok,1.0,0.5,5360,,huggingface/transformers,python
polybench500::huggingface__transformers-30964,ok,1.0,1.0,152,,huggingface/transformers,python
polybench500::huggingface__transformers-5749,ok,1.0,0.1111111111111111,1354,,huggingface/transformers,python
polybench500::huggingface__transformers-19073,ok,1.0,0.07142857142857142,6008,,huggingface/transformers,python
polybench500::huggingface__transformers-26386,ok,1.0,0.14285714285714285,1003,,huggingface/transformers,python
polybench500::huggingface__transformers-27561,ok,1.0,0.061224489795918366,4358,,huggingface/transformers,python
polybench500::huggingface__transformers-12981,ok,1.0,0.16666666666666666,2902,,huggingface/transformers,python
polybench500::huggingface__transformers-25884,ok,1.0,0.06666666666666667,1742,,huggingface/transformers,python
polybench500::huggingface__transformers-14355,ok,1.0,0.5625,6821,,huggingface/transformers,python
polybench500::huggingface__transformers-14779,ok,1.0,0.18181818181818182,4370,,huggingface/transformers,python
polybench500::huggingface__transformers-31247,ok,1.0,0.6,6229,,huggingface/transformers,python
polybench500::huggingface__transformers-29838,ok,1.0,0.05,1936,,huggingface/transformers,python
polybench500::huggingface__transformers-15795,ok,1.0,0.16666666666666666,1835,,huggingface/transformers,python
polybench500::huggingface__transformers-29300,ok,1.0,1.0,7439,,huggingface/transformers,python
polybench500::huggingface__transformers-26164,ok,1.0,0.07142857142857142,4709,,huggingface/transformers,python
polybench500::huggingface__transformers-21768,ok,1.0,0.25,3587,,huggingface/transformers,python
polybench500::huggingface__transformers-21345,ok,1.0,0.09090909090909091,925,,huggingface/transformers,python
polybench500::huggingface__transformers-29680,ok,1.0,0.125,6246,,huggingface/transformers,python
polybench500::huggingface__transformers-30556,ok,1.0,0.2,2816,,huggingface/transformers,python
polybench500::huggingface__transformers-31095,ok,1.0,0.2857142857142857,943,,huggingface/transformers,python
polybench500::huggingface__transformers-15831,ok,1.0,0.8,6015,,huggingface/transformers,python
polybench500::huggingface__transformers-30934,ok,1.0,0.1111111111111111,2889,,huggingface/transformers,python
polybench500::huggingface__transformers-29175,ok,1.0,0.023255813953488372,5492,,huggingface/transformers,python
polybench500::huggingface__transformers-29311,ok,1.0,0.14285714285714285,2257,,huggingface/transformers,python
polybench500::huggingface__transformers-29519,ok,1.0,0.014285714285714285,4151,,huggingface/transformers,python
polybench500::huggingface__transformers-15473,ok,1.0,0.5,2971,,huggingface/transformers,python
polybench500::huggingface__transformers-15158,ok,1.0,0.3333333333333333,1793,,huggingface/transformers,python
polybench500::huggingface__transformers-23126,ok,1.0,0.023255813953488372,5399,,huggingface/transformers,python
polybench500::huggingface__transformers-26568,ok,1.0,0.25,3668,,huggingface/transformers,python
polybench500::huggingface__transformers-31448,ok,1.0,0.25,4615,,huggingface/transformers,python
polybench500::huggingface__transformers-24510,ok,0.9,0.9,7590,,huggingface/transformers,python
polybench500::huggingface__transformers-22458,ok,1.0,0.07692307692307693,3248,,huggingface/transformers,python
polybench500::huggingface__transformers-17082,ok,1.0,0.09375,4866,,huggingface/transformers,python
polybench500::huggingface__transformers-30602,ok,1.0,0.1111111111111111,2095,,huggingface/transformers,python
polybench500::huggingface__transformers-25765,ok,1.0,0.2,3287,,huggingface/transformers,python
polybench500::huggingface__transformers-28517,ok,1.0,0.25,4022,,huggingface/transformers,python
polybench500::huggingface__transformers-29688,ok,1.0,0.25,4029,,huggingface/transformers,python
polybench500::huggingface__transformers-28940,ok,1.0,0.03225806451612903,3376,,huggingface/transformers,python
polybench500::huggingface__transformers-3716,ok,1.0,0.13333333333333333,4778,,huggingface/transformers,python
polybench500::huggingface__transformers-28010,ok,1.0,0.4117647058823529,5038,,huggingface/transformers,python
polybench500::keras-team__keras-20008,ok,1.0,0.25,1149,,keras-team/keras,python
polybench500::huggingface__transformers-28398,ok,1.0,0.07692307692307693,3110,,huggingface/transformers,python
polybench500::huggingface__transformers-27717,ok,1.0,0.3,4765,,huggingface/transformers,python
polybench500::keras-team__keras-19973,ok,1.0,0.3333333333333333,1413,,keras-team/keras,python
polybench500::keras-team__keras-19844,ok,1.0,0.5,3245,,keras-team/keras,python
polybench500::keras-team__keras-19826,ok,1.0,0.3333333333333333,4157,,keras-team/keras,python
polybench500::keras-team__keras-19838,ok,1.0,0.25,3282,,keras-team/keras,python
polybench500::keras-team__keras-19937,ok,1.0,0.5,6651,,keras-team/keras,python
polybench500::keras-team__keras-18871,ok,1.0,0.044444444444444446,4043,,keras-team/keras,python
polybench500::keras-team__keras-3983,ok,1.0,0.25,1317,,keras-team/keras,python
polybench500::huggingface__transformers-29589,ok,1.0,0.08333333333333333,5453,,huggingface/transformers,python
polybench500::keras-team__keras-4856,ok,1.0,0.25,596,,keras-team/keras,python
polybench500::keras-team__keras-18766,ok,1.0,0.16666666666666666,1873,,keras-team/keras,python
polybench500::keras-team__keras-19284,ok,1.0,0.03389830508474576,2616,,keras-team/keras,python
polybench500::huggingface__transformers-20136,ok,1.0,1.0,5531,,huggingface/transformers,python
polybench500::keras-team__keras-20002,ok,1.0,0.2222222222222222,1529,,keras-team/keras,python
polybench500::keras-team__keras-19903,ok,1.0,0.7777777777777778,6722,,keras-team/keras,python
polybench500::keras-team__keras-19466,ok,1.0,0.125,762,,keras-team/keras,python
polybench500::keras-team__keras-3907,ok,1.0,0.2222222222222222,3530,,keras-team/keras,python
polybench500::keras-team__keras-19641,ok,1.0,0.2,1523,,keras-team/keras,python
polybench500::keras-team__keras-19484,ok,1.0,0.1,1947,,keras-team/keras,python
polybench500::keras-team__keras-19775,ok,1.0,0.25,1240,,keras-team/keras,python
polybench500::keras-team__keras-19459,ok,1.0,0.29411764705882354,2764,,keras-team/keras,python
polybench500::keras-team__keras-19924,ok,1.0,0.25,2668,,keras-team/keras,python
polybench500::keras-team__keras-1767,ok,1.0,0.16666666666666666,692,,keras-team/keras,python
polybench500::keras-team__keras-18852,ok,1.0,0.4,1499,,keras-team/keras,python
polybench500::keras-team__keras-19931,ok,1.0,0.25,567,,keras-team/keras,python
polybench500::keras-team__keras-19799,ok,1.0,0.42857142857142855,1034,,keras-team/keras,python
polybench500::keras-team__keras-19201,ok,1.0,0.25,782,,keras-team/keras,python
polybench500::keras-team__keras-19955,ok,1.0,0.5555555555555556,2551,,keras-team/keras,python
polybench500::keras-team__keras-18553,ok,1.0,0.2,3855,,keras-team/keras,python
polybench500::keras-team__keras-19915,ok,1.0,0.5,321,,keras-team/keras,python
polybench500::keras-team__keras-19863,ok,1.0,0.16666666666666666,2231,,keras-team/keras,python
polybench500::keras-team__keras-19300,ok,1.0,0.0625,1862,,keras-team/keras,python
polybench500::keras-team__keras-18649,ok,1.0,0.625,4142,,keras-team/keras,python
polybench500::keras-team__keras-18977,ok,1.0,0.16666666666666666,731,,keras-team/keras,python
polybench500::langchain-ai__langchain-6456,ok,1.0,0.14285714285714285,1551,,langchain-ai/langchain,python
polybench500::langchain-ai__langchain-6483,ok,1.0,0.1111111111111111,1296,,langchain-ai/langchain,python
polybench500::langchain-ai__langchain-4579,ok,1.0,0.022727272727272728,3564,,langchain-ai/langchain,python
polybench500::langchain-ai__langchain-5584,ok,1.0,0.08333333333333333,1185,,langchain-ai/langchain,python
polybench500::langchain-ai__langchain-19717,ok,1.0,0.25,1117,,langchain-ai/langchain,python
polybench500::langchain-ai__langchain-4103,ok,1.0,0.02,3136,,langchain-ai/langchain,python
polybench500::langchain-ai__langchain-19331,ok,1.0,0.25,4684,,langchain-ai/langchain,python
polybench500::langchain-ai__langchain-5450,ok,1.0,0.07692307692307693,1557,,langchain-ai/langchain,python
polybench500::langchain-ai__langchain-4009,ok,1.0,0.06666666666666667,2245,,langchain-ai/langchain,python
polybench500::langchain-ai__langchain-14350,ok,1.0,0.42857142857142855,7438,,langchain-ai/langchain,python
polybench500::langchain-ai__langchain-7653,ok,1.0,0.037037037037037035,1876,,langchain-ai/langchain,python
polybench500::langchain-ai__langchain-5625,ok,1.0,0.2,2807,,langchain-ai/langchain,python
polybench500::langchain-ai__langchain-6765,ok,1.0,0.02857142857142857,4544,,langchain-ai/langchain,python
polybench500::langchain-ai__langchain-20064,ok,1.0,0.3333333333333333,892,,langchain-ai/langchain,python
polybench500::langchain-ai__langchain-4420,ok,1.0,0.09090909090909091,877,,langchain-ai/langchain,python
polybench500::langchain-ai__langchain-5432,ok,1.0,0.058823529411764705,1444,,langchain-ai/langchain,python
polybench500::langchain-ai__langchain-21201,ok,1.0,0.25,1112,,langchain-ai/langchain,python
polybench500::microsoft__vscode-179884,ok,1.0,0.14285714285714285,1363,,microsoft/vscode,typescript
polybench500::microsoft__vscode-175682,ok,1.0,0.3333333333333333,581,,microsoft/vscode,typescript
polybench500::microsoft__vscode-191602,ok,1.0,0.2,1931,,microsoft/vscode,typescript
polybench500::microsoft__vscode-168788,ok,1.0,0.2,2428,,microsoft/vscode,typescript
polybench500::microsoft__vscode-123112,ok,1.0,0.0625,3041,,microsoft/vscode,typescript
polybench500::microsoft__vscode-174679,ok,1.0,0.1111111111111111,2007,,microsoft/vscode,typescript
polybench500::microsoft__vscode-190351,ok,1.0,0.25,1740,,microsoft/vscode,typescript
polybench500::microsoft__vscode-171718,ok,1.0,0.2,407,,microsoft/vscode,typescript
polybench500::microsoft__vscode-159554,ok,1.0,0.15384615384615385,2488,,microsoft/vscode,typescript
polybench500::microsoft__vscode-152802,ok,1.0,0.21052631578947367,5180,,microsoft/vscode,typescript
polybench500::microsoft__vscode-164226,ok,1.0,0.16666666666666666,1419,,microsoft/vscode,typescript
polybench500::microsoft__vscode-181517,ok,1.0,0.16666666666666666,1344,,microsoft/vscode,typescript
polybench500::microsoft__vscode-169916,ok,1.0,0.25,3759,,microsoft/vscode,typescript
polybench500::microsoft__vscode-128931,ok,1.0,0.07407407407407407,2951,,microsoft/vscode,typescript
polybench500::microsoft__vscode-155261,ok,1.0,0.3333333333333333,2102,,microsoft/vscode,typescript
polybench500::microsoft__vscode-149380,ok,1.0,0.1,691,,microsoft/vscode,typescript
polybench500::microsoft__vscode-127257,ok,1.0,0.2857142857142857,1866,,microsoft/vscode,typescript
polybench500::microsoft__vscode-110255,ok,1.0,0.3333333333333333,1680,,microsoft/vscode,typescript
polybench500::microsoft__vscode-178513,ok,1.0,0.16666666666666666,552,,microsoft/vscode,typescript
polybench500::microsoft__vscode-114208,ok,1.0,0.25,872,,microsoft/vscode,typescript
polybench500::microsoft__vscode-178291,ok,1.0,0.25,1261,,microsoft/vscode,typescript
