instance_id,status,file_recall,file_precision,used_tokens,nontrivial_file_recall,repo,language
swebench_verified::astropy__astropy-13453,ok,1.0,0.25,1359,,astropy/astropy,python
swebench_verified::astropy__astropy-7166,ok,1.0,0.1,3208,,astropy/astropy,python
swebench_verified::astropy__astropy-7606,ok,1.0,0.3333333333333333,936,,astropy/astropy,python
swebench_verified::astropy__astropy-13579,ok,1.0,0.125,1358,,astropy/astropy,python
swebench_verified::astropy__astropy-13033,ok,1.0,0.016666666666666666,3958,,astropy/astropy,python
swebench_verified::astropy__astropy-14096,ok,1.0,0.05,2269,,astropy/astropy,python
swebench_verified::astropy__astropy-7336,ok,1.0,0.25,1593,,astropy/astropy,python
swebench_verified::astropy__astropy-13236,ok,1.0,0.07142857142857142,3886,,astropy/astropy,python
swebench_verified::astropy__astropy-13977,ok,1.0,0.09090909090909091,2362,,astropy/astropy,python
swebench_verified::astropy__astropy-14182,ok,1.0,0.16666666666666666,1348,,astropy/astropy,python
swebench_verified::astropy__astropy-7671,ok,1.0,0.5,1137,,astropy/astropy,python
swebench_verified::astropy__astropy-14365,ok,1.0,0.14285714285714285,2355,,astropy/astropy,python
swebench_verified::astropy__astropy-14995,ok,1.0,1.0,1088,,astropy/astropy,python
swebench_verified::astropy__astropy-14598,ok,1.0,0.2,3101,,astropy/astropy,python
swebench_verified::astropy__astropy-13398,ok,1.0,0.21052631578947367,6454,,astropy/astropy,python
swebench_verified::astropy__astropy-14508,ok,1.0,0.022727272727272728,4374,,astropy/astropy,python
swebench_verified::astropy__astropy-14369,ok,1.0,0.5,4029,,astropy/astropy,python
swebench_verified::astropy__astropy-8872,ok,1.0,0.07692307692307693,3568,,astropy/astropy,python
swebench_verified::astropy__astropy-8707,ok,1.0,0.08695652173913043,5557,,astropy/astropy,python
swebench_verified::astropy__astropy-14309,ok,1.0,0.02702702702702703,3601,,astropy/astropy,python
swebench_verified::astropy__astropy-14539,ok,1.0,0.05263157894736842,5871,,astropy/astropy,python
swebench_verified::astropy__astropy-12907,ok,1.0,0.038461538461538464,2755,,astropy/astropy,python
swebench_verified::django__django-14672,ok,1.0,0.5,326,,django/django,python
swebench_verified::django__django-11740,ok,1.0,0.08333333333333333,4030,,django/django,python
swebench_verified::django__django-14787,ok,1.0,0.14285714285714285,397,,django/django,python
swebench_verified::django__django-11728,ok,1.0,0.08333333333333333,1764,,django/django,python
swebench_verified::django__django-16667,ok,1.0,0.16666666666666666,2314,,django/django,python
swebench_verified::django__django-11885,ok,1.0,0.2222222222222222,2761,,django/django,python
swebench_verified::django__django-11880,ok,1.0,0.125,2767,,django/django,python
swebench_verified::django__django-14351,ok,1.0,0.05555555555555555,1664,,django/django,python
swebench_verified::django__django-13112,ok,1.0,0.07692307692307693,2590,,django/django,python
swebench_verified::django__django-13658,ok,1.0,0.041666666666666664,4341,,django/django,python
swebench_verified::django__django-15278,ok,1.0,0.03571428571428571,3241,,django/django,python
swebench_verified::django__django-15268,ok,1.0,0.14285714285714285,947,,django/django,python
swebench_verified::django__django-15572,ok,1.0,0.25,589,,django/django,python
swebench_verified::django__django-16819,ok,1.0,0.09090909090909091,3245,,django/django,python
swebench_verified::django__django-14725,ok,1.0,0.1,1933,,django/django,python
swebench_verified::django__django-13925,ok,1.0,0.03225806451612903,4595,,django/django,python
swebench_verified::django__django-16032,ok,1.0,0.2857142857142857,1985,,django/django,python
swebench_verified::django__django-16662,ok,1.0,0.03225806451612903,5068,,django/django,python
swebench_verified::django__django-16938,ok,1.0,0.5,393,,django/django,python
swebench_verified::django__django-16454,ok,1.0,0.047619047619047616,1678,,django/django,python
swebench_verified::django__django-10554,ok,1.0,0.14285714285714285,4555,,django/django,python
swebench_verified::django__django-14053,ok,1.0,0.07142857142857142,1924,,django/django,python
swebench_verified::django__django-13195,ok,1.0,0.07894736842105263,3791,,django/django,python
swebench_verified::django__django-14315,ok,1.0,0.2222222222222222,888,,django/django,python
swebench_verified::django__django-16136,ok,1.0,0.25,802,,django/django,python
swebench_verified::django__django-12754,ok,1.0,0.05555555555555555,4901,,django/django,python
swebench_verified::django__django-11179,ok,1.0,0.09090909090909091,1636,,django/django,python
swebench_verified::django__django-11265,ok,1.0,0.125,3256,,django/django,python
swebench_verified::django__django-11400,ok,1.0,0.11538461538461539,2722,,django/django,python
swebench_verified::django__django-11433,ok,1.0,0.125,1195,,django/django,python
swebench_verified::django__django-16502,ok,1.0,0.07692307692307693,1741,,django/django,python
swebench_verified::django__django-13012,ok,1.0,0.14285714285714285,992,,django/django,python
swebench_verified::django__django-15973,ok,1.0,0.05263157894736842,5318,,django/django,python
