instance_id,status,file_recall,file_precision,used_tokens,nontrivial_file_recall,repo,language
swebench_verified::astropy__astropy-13453,ok,1.0,0.14285714285714285,3930,,astropy/astropy,python
swebench_verified::astropy__astropy-7166,ok,1.0,0.06666666666666667,1946,,astropy/astropy,python
swebench_verified::astropy__astropy-7606,ok,1.0,0.1111111111111111,1656,,astropy/astropy,python
swebench_verified::astropy__astropy-13033,ok,1.0,0.012345679012345678,1255,,astropy/astropy,python
swebench_verified::astropy__astropy-14096,ok,1.0,0.008547008547008548,1110,,astropy/astropy,python
swebench_verified::astropy__astropy-13579,ok,1.0,0.016129032258064516,1816,,astropy/astropy,python
swebench_verified::astropy__astropy-7336,ok,1.0,0.2,5331,,astropy/astropy,python
swebench_verified::astropy__astropy-13977,ok,1.0,0.041666666666666664,2084,,astropy/astropy,python
swebench_verified::astropy__astropy-13236,ok,1.0,0.03225806451612903,2363,,astropy/astropy,python
swebench_verified::astropy__astropy-13398,ok,1.0,0.06896551724137931,4454,,astropy/astropy,python
swebench_verified::astropy__astropy-14182,ok,1.0,0.14285714285714285,4777,,astropy/astropy,python
swebench_verified::astropy__astropy-14995,ok,1.0,0.3333333333333333,5973,,astropy/astropy,python
swebench_verified::astropy__astropy-7671,ok,1.0,0.2,5982,,astropy/astropy,python
swebench_verified::astropy__astropy-8707,ok,1.0,0.02040816326530612,2165,,astropy/astropy,python
swebench_verified::astropy__astropy-8872,ok,1.0,0.014925373134328358,2583,,astropy/astropy,python
swebench_verified::astropy__astropy-14365,ok,1.0,0.009523809523809525,2053,,astropy/astropy,python
swebench_verified::astropy__astropy-14598,ok,1.0,0.01098901098901099,2697,,astropy/astropy,python
swebench_verified::astropy__astropy-14369,ok,1.0,0.25,4612,,astropy/astropy,python
swebench_verified::astropy__astropy-14508,ok,1.0,0.009708737864077669,997,,astropy/astropy,python
swebench_verified::astropy__astropy-14539,ok,1.0,0.015625,2247,,astropy/astropy,python
swebench_verified::django__django-14672,ok,1.0,0.3333333333333333,3493,,django/django,python
swebench_verified::django__django-11740,ok,1.0,0.009009009009009009,1658,,django/django,python
swebench_verified::django__django-14787,ok,1.0,0.015625,1476,,django/django,python
swebench_verified::django__django-16667,ok,1.0,0.00980392156862745,1052,,django/django,python
swebench_verified::astropy__astropy-14309,ok,1.0,0.013157894736842105,1668,,astropy/astropy,python
swebench_verified::django__django-11728,ok,1.0,0.010309278350515464,1839,,django/django,python
swebench_verified::astropy__astropy-12907,ok,1.0,0.009345794392523364,1065,,astropy/astropy,python
swebench_verified::django__django-11885,ok,1.0,0.022222222222222223,2270,,django/django,python
swebench_verified::django__django-11880,ok,1.0,0.013333333333333334,1090,,django/django,python
swebench_verified::django__django-15278,ok,1.0,0.008849557522123894,1035,,django/django,python
swebench_verified::django__django-15268,ok,1.0,0.015873015873015872,1358,,django/django,python
swebench_verified::django__django-14351,ok,1.0,0.009433962264150943,999,,django/django,python
swebench_verified::django__django-13112,ok,1.0,0.008695652173913044,1213,,django/django,python
swebench_verified::django__django-13658,ok,1.0,0.008,1438,,django/django,python
swebench_verified::django__django-15572,ok,1.0,0.25,2729,,django/django,python
swebench_verified::django__django-14725,ok,1.0,0.009433962264150943,1638,,django/django,python
swebench_verified::django__django-16819,ok,1.0,0.016129032258064516,1285,,django/django,python
swebench_verified::django__django-16032,ok,1.0,0.024390243902439025,2083,,django/django,python
swebench_verified::django__django-16662,ok,1.0,0.012048192771084338,1586,,django/django,python
swebench_verified::django__django-16938,ok,1.0,0.018518518518518517,1034,,django/django,python
swebench_verified::django__django-13925,ok,1.0,0.016666666666666666,1196,,django/django,python
swebench_verified::django__django-10554,ok,1.0,0.023529411764705882,1826,,django/django,python
swebench_verified::django__django-16454,ok,1.0,0.010526315789473684,1148,,django/django,python
swebench_verified::django__django-14053,ok,1.0,0.010416666666666666,1230,,django/django,python
swebench_verified::django__django-14315,ok,1.0,0.017857142857142856,1248,,django/django,python
swebench_verified::django__django-13195,ok,1.0,0.03125,1560,,django/django,python
swebench_verified::django__django-12754,ok,1.0,0.010638297872340425,2120,,django/django,python
swebench_verified::django__django-16136,ok,1.0,0.008849557522123894,1000,,django/django,python
swebench_verified::django__django-11265,ok,1.0,0.011111111111111112,2229,,django/django,python
swebench_verified::django__django-11179,ok,1.0,0.010869565217391304,1364,,django/django,python
swebench_verified::django__django-11433,ok,1.0,0.017857142857142856,1518,,django/django,python
swebench_verified::django__django-13569,ok,1.0,0.25,545,,django/django,python
swebench_verified::django__django-13012,ok,1.0,0.009433962264150943,896,,django/django,python
swebench_verified::django__django-11400,ok,1.0,0.029411764705882353,1270,,django/django,python
swebench_verified::django__django-16502,ok,1.0,0.009523809523809525,1320,,django/django,python
swebench_verified::django__django-15973,ok,1.0,0.01,1212,,django/django,python
swebench_verified::django__django-13089,ok,1.0,0.009433962264150943,1144,,django/django,python
swebench_verified::django__django-16569,ok,1.0,0.015151515151515152,1499,,django/django,python
swebench_verified::django__django-11276,ok,1.0,0.011111111111111112,1440,,django/django,python
swebench_verified::django__django-15098,ok,1.0,0.009615384615384616,1369,,django/django,python
swebench_verified::django__django-13449,ok,1.0,0.009523809523809525,1026,,django/django,python
swebench_verified::django__django-13128,ok,1.0,0.010101010101010102,1323,,django/django,python
swebench_verified::django__django-12325,ok,1.0,0.023809523809523808,3214,,django/django,python
swebench_verified::django__django-14155,ok,1.0,0.011764705882352941,1192,,django/django,python
swebench_verified::django__django-12308,ok,1.0,0.00980392156862745,1187,,django/django,python
swebench_verified::django__django-15277,ok,1.0,0.01,954,,django/django,python
swebench_verified::django__django-14238,ok,1.0,0.011363636363636364,1039,,django/django,python
swebench_verified::django__django-11951,ok,1.0,0.010101010101010102,1179,,django/django,python
swebench_verified::django__django-11749,ok,1.0,0.008695652173913044,1464,,django/django,python
swebench_verified::django__django-15252,ok,1.0,0.007633587786259542,1339,,django/django,python
swebench_verified::django__django-16263,ok,1.0,0.06666666666666667,3764,,django/django,python
swebench_verified::django__django-12406,ok,1.0,0.018867924528301886,1319,,django/django,python
swebench_verified::django__django-10999,ok,1.0,0.010752688172043012,1696,,django/django,python
swebench_verified::django__django-13315,ok,1.0,0.016129032258064516,1298,,django/django,python
swebench_verified::django__django-16485,ok,1.0,0.011363636363636364,1854,,django/django,python
swebench_verified::django__django-14580,ok,1.0,0.009259259259259259,1000,,django/django,python
swebench_verified::django__django-15863,ok,1.0,0.011363636363636364,1851,,django/django,python
swebench_verified::django__django-12193,ok,1.0,0.009900990099009901,925,,django/django,python
swebench_verified::django__django-16801,ok,1.0,0.010101010101010102,1400,,django/django,python
swebench_verified::django__django-13837,ok,1.0,0.019230769230769232,1804,,django/django,python
swebench_verified::django__django-12965,ok,1.0,0.013888888888888888,1351,,django/django,python
swebench_verified::django__django-13810,ok,1.0,0.01098901098901099,1560,,django/django,python
swebench_verified::django__django-13933,ok,1.0,0.037037037037037035,1471,,django/django,python
swebench_verified::django__django-16255,ok,1.0,0.008403361344537815,993,,django/django,python
swebench_verified::django__django-12708,ok,1.0,0.008547008547008548,1183,,django/django,python
swebench_verified::django__django-13401,ok,1.0,0.009345794392523364,1125,,django/django,python
swebench_verified::django__django-14855,ok,1.0,0.00847457627118644,1032,,django/django,python
swebench_verified::django__django-14017,ok,1.0,0.009433962264150943,1059,,django/django,python
swebench_verified::django__django-14140,ok,1.0,0.009708737864077669,1001,,django/django,python
swebench_verified::django__django-14771,ok,1.0,0.0125,1489,,django/django,python
swebench_verified::django__django-17087,ok,1.0,0.00980392156862745,1117,,django/django,python
swebench_verified::django__django-11066,ok,1.0,0.008620689655172414,1117,,django/django,python
swebench_verified::django__django-12304,ok,1.0,0.009615384615384616,1150,,django/django,python
swebench_verified::django__django-12741,ok,1.0,0.018691588785046728,1359,,django/django,python
swebench_verified::django__django-14765,ok,1.0,0.018518518518518517,2060,,django/django,python
swebench_verified::django__django-12276,ok,1.0,0.010752688172043012,1013,,django/django,python
swebench_verified::django__django-12143,ok,1.0,0.01,924,,django/django,python
swebench_verified::django__django-16560,ok,1.0,0.03333333333333333,3726,,django/django,python
swebench_verified::django__django-13410,ok,1.0,0.25,3743,,django/django,python
swebench_verified::django__django-11333,ok,1.0,0.020202020202020204,1117,,django/django,python
swebench_verified::django__django-11206,ok,1.0,0.010416666666666666,1536,,django/django,python
swebench_verified::django__django-12039,ok,1.0,0.00909090909090909,1182,,django/django,python
swebench_verified::django__django-16612,ok,1.0,0.00909090909090909,1008,,django/django,python
swebench_verified::django__django-15554,ok,1.0,0.014285714285714285,3584,,django/django,python
swebench_verified::django__django-16116,ok,1.0,0.25,6612,,django/django,python
swebench_verified::django__django-14311,ok,1.0,0.018867924528301886,2005,,django/django,python
swebench_verified::django__django-12713,ok,1.0,0.008849557522123894,1188,,django/django,python
swebench_verified::django__django-12209,ok,1.0,0.014705882352941176,1634,,django/django,python
swebench_verified::django__django-11141,ok,1.0,0.009345794392523364,1318,,django/django,python
swebench_verified::django__django-15814,ok,1.0,0.015625,1807,,django/django,python
swebench_verified::django__django-14434,ok,1.0,0.00909090909090909,1280,,django/django,python
swebench_verified::django__django-14007,ok,1.0,0.009259259259259259,1221,,django/django,python
swebench_verified::django__django-16333,ok,1.0,0.008695652173913044,972,,django/django,python
swebench_verified::django__django-15695,ok,1.0,0.02,1583,,django/django,python
swebench_verified::django__django-13513,ok,1.0,0.013157894736842105,1494,,django/django,python
swebench_verified::django__django-15930,ok,1.0,0.00980392156862745,1010,,django/django,python
swebench_verified::django__django-11299,ok,1.0,0.009615384615384616,1240,,django/django,python
swebench_verified::django__django-15315,ok,1.0,0.011494252873563218,1033,,django/django,python
swebench_verified::django__django-12774,ok,1.0,0.010752688172043012,1346,,django/django,python
swebench_verified::django__django-12262,ok,1.0,0.010101010101010102,1616,,django/django,python
swebench_verified::django__django-16429,ok,1.0,0.01639344262295082,1981,,django/django,python
swebench_verified::django__django-13279,ok,1.0,0.011111111111111112,1111,,django/django,python
swebench_verified::django__django-14539,ok,1.0,0.013513513513513514,1247,,django/django,python
swebench_verified::django__django-15629,ok,1.0,0.06557377049180328,4865,,django/django,python
swebench_verified::django__django-15561,ok,1.0,0.018691588785046728,1368,,django/django,python
swebench_verified::django__django-14170,ok,1.0,0.016666666666666666,1399,,django/django,python
swebench_verified::django__django-13363,ok,1.0,0.25,6131,,django/django,python
swebench_verified::django__django-14493,ok,1.0,0.010869565217391304,1510,,django/django,python
swebench_verified::django__django-15380,ok,1.0,0.009433962264150943,1425,,django/django,python
swebench_verified::django__django-13590,ok,1.0,0.010752688172043012,1079,,django/django,python
swebench_verified::django__django-13417,ok,1.0,0.009433962264150943,1021,,django/django,python
swebench_verified::django__django-16256,ok,1.0,0.037037037037037035,4952,,django/django,python
swebench_verified::django__django-13028,ok,1.0,0.012195121951219513,1210,,django/django,python
swebench_verified::django__django-11551,ok,1.0,0.010752688172043012,1186,,django/django,python
swebench_verified::django__django-13158,ok,1.0,0.010416666666666666,1315,,django/django,python
swebench_verified::django__django-15987,ok,1.0,0.3333333333333333,4626,,django/django,python
swebench_verified::django__django-15382,ok,1.0,0.010416666666666666,1018,,django/django,python
swebench_verified::django__django-11095,ok,1.0,0.009900990099009901,1000,,django/django,python
swebench_verified::django__django-16315,ok,1.0,0.02531645569620253,2640,,django/django,python
swebench_verified::django__django-14608,ok,1.0,0.0125,1533,,django/django,python
swebench_verified::django__django-13551,ok,1.0,0.009009009009009009,1116,,django/django,python
swebench_verified::django__django-12419,ok,1.0,0.029411764705882353,5824,,django/django,python
swebench_verified::django__django-11087,ok,1.0,0.01,1848,,django/django,python
swebench_verified::django__django-10880,ok,1.0,0.012048192771084338,1390,,django/django,python
swebench_verified::django__django-14631,ok,1.0,0.024390243902439025,1847,,django/django,python
swebench_verified::django__django-9296,ok,1.0,0.009708737864077669,1025,,django/django,python
swebench_verified::django__django-13406,ok,1.0,0.010101010101010102,910,,django/django,python
swebench_verified::django__django-11133,ok,1.0,0.02857142857142857,1759,,django/django,python
swebench_verified::django__django-11999,ok,1.0,0.00909090909090909,1071,,django/django,python
swebench_verified::django__django-15503,ok,1.0,0.010101010101010102,1541,,django/django,python
swebench_verified::django__django-13297,ok,1.0,0.011627906976744186,1228,,django/django,python
swebench_verified::django__django-12125,ok,1.0,0.009345794392523364,999,,django/django,python
