instance_id,status,file_recall,file_precision,used_tokens,nontrivial_file_recall,repo,language
swebench_verified::astropy__astropy-13453,ok,1.0,0.2,5624,,astropy/astropy,python
swebench_verified::astropy__astropy-7166,ok,1.0,0.125,5380,,astropy/astropy,python
swebench_verified::astropy__astropy-7606,ok,1.0,0.5,509,,astropy/astropy,python
swebench_verified::astropy__astropy-13033,ok,1.0,0.06666666666666667,5080,,astropy/astropy,python
swebench_verified::astropy__astropy-13579,ok,1.0,0.3333333333333333,5118,,astropy/astropy,python
swebench_verified::astropy__astropy-14096,ok,1.0,0.043478260869565216,6230,,astropy/astropy,python
swebench_verified::astropy__astropy-13977,ok,1.0,0.25,4687,,astropy/astropy,python
swebench_verified::astropy__astropy-7336,ok,1.0,0.2,2027,,astropy/astropy,python
swebench_verified::astropy__astropy-13236,ok,1.0,0.16666666666666666,3729,,astropy/astropy,python
swebench_verified::astropy__astropy-13398,ok,1.0,0.16666666666666666,5921,,astropy/astropy,python
swebench_verified::astropy__astropy-14182,ok,1.0,0.2,6369,,astropy/astropy,python
swebench_verified::astropy__astropy-7671,ok,1.0,0.3333333333333333,3389,,astropy/astropy,python
swebench_verified::astropy__astropy-14995,ok,1.0,0.5,6508,,astropy/astropy,python
swebench_verified::astropy__astropy-8707,ok,1.0,0.046511627906976744,4841,,astropy/astropy,python
swebench_verified::astropy__astropy-8872,ok,1.0,0.25,2485,,astropy/astropy,python
swebench_verified::astropy__astropy-14365,ok,1.0,0.14285714285714285,6671,,astropy/astropy,python
swebench_verified::astropy__astropy-14598,ok,1.0,0.09090909090909091,6383,,astropy/astropy,python
swebench_verified::astropy__astropy-14508,ok,1.0,0.05555555555555555,5476,,astropy/astropy,python
swebench_verified::astropy__astropy-14369,ok,1.0,0.3333333333333333,6378,,astropy/astropy,python
swebench_verified::astropy__astropy-14539,ok,1.0,0.5,6169,,astropy/astropy,python
swebench_verified::django__django-14672,ok,1.0,0.5,484,,django/django,python
swebench_verified::django__django-11740,ok,1.0,0.1111111111111111,6957,,django/django,python
swebench_verified::django__django-14787,ok,1.0,0.14285714285714285,1380,,django/django,python
swebench_verified::django__django-16667,ok,1.0,0.5,3897,,django/django,python
swebench_verified::astropy__astropy-12907,ok,1.0,0.045454545454545456,6305,,astropy/astropy,python
swebench_verified::astropy__astropy-14309,ok,1.0,0.2,3094,,astropy/astropy,python
swebench_verified::django__django-11728,ok,1.0,0.16666666666666666,2437,,django/django,python
swebench_verified::django__django-11885,ok,1.0,0.06896551724137931,6353,,django/django,python
swebench_verified::django__django-11880,ok,1.0,0.25,3952,,django/django,python
swebench_verified::django__django-15278,ok,1.0,0.1,5879,,django/django,python
swebench_verified::django__django-14351,ok,1.0,0.16666666666666666,4032,,django/django,python
swebench_verified::django__django-15268,ok,1.0,0.5,3595,,django/django,python
swebench_verified::django__django-13112,ok,1.0,0.04,4915,,django/django,python
swebench_verified::django__django-13658,ok,1.0,0.041666666666666664,6075,,django/django,python
swebench_verified::django__django-15572,ok,1.0,0.25,487,,django/django,python
swebench_verified::django__django-14725,ok,1.0,0.1,4397,,django/django,python
swebench_verified::django__django-16819,ok,1.0,0.3333333333333333,3391,,django/django,python
swebench_verified::django__django-16032,ok,1.0,0.125,5560,,django/django,python
swebench_verified::django__django-16662,ok,1.0,0.043478260869565216,4477,,django/django,python
swebench_verified::django__django-16938,ok,1.0,0.125,1720,,django/django,python
swebench_verified::django__django-13925,ok,1.0,0.25,4997,,django/django,python
swebench_verified::django__django-10554,ok,1.0,0.4,4327,,django/django,python
swebench_verified::django__django-16454,ok,1.0,0.08333333333333333,5404,,django/django,python
swebench_verified::django__django-14053,ok,1.0,0.06666666666666667,5706,,django/django,python
swebench_verified::django__django-14315,ok,1.0,0.05555555555555555,5653,,django/django,python
swebench_verified::django__django-13195,ok,1.0,0.2727272727272727,4099,,django/django,python
swebench_verified::django__django-12754,ok,1.0,0.043478260869565216,5912,,django/django,python
swebench_verified::django__django-11265,ok,1.0,0.3333333333333333,4760,,django/django,python
swebench_verified::django__django-16136,ok,1.0,0.1111111111111111,2503,,django/django,python
swebench_verified::django__django-11179,ok,1.0,0.043478260869565216,2537,,django/django,python
swebench_verified::django__django-11433,ok,1.0,0.16666666666666666,4509,,django/django,python
swebench_verified::django__django-13012,ok,1.0,0.3333333333333333,2713,,django/django,python
swebench_verified::django__django-11400,ok,1.0,0.17647058823529413,4920,,django/django,python
swebench_verified::django__django-13569,ok,1.0,0.5,98,,django/django,python
swebench_verified::django__django-15973,ok,1.0,0.04,5549,,django/django,python
swebench_verified::django__django-16502,ok,1.0,0.047619047619047616,5279,,django/django,python
swebench_verified::django__django-13089,ok,1.0,0.030303030303030304,6047,,django/django,python
swebench_verified::django__django-11276,ok,1.0,0.0625,4489,,django/django,python
swebench_verified::django__django-16569,ok,1.0,0.1,1255,,django/django,python
swebench_verified::django__django-15098,ok,1.0,0.043478260869565216,5714,,django/django,python
swebench_verified::django__django-13449,ok,1.0,0.3333333333333333,2838,,django/django,python
swebench_verified::django__django-12308,ok,1.0,0.06666666666666667,5726,,django/django,python
swebench_verified::django__django-14155,ok,1.0,0.1111111111111111,5004,,django/django,python
swebench_verified::django__django-13128,ok,1.0,0.3333333333333333,2957,,django/django,python
swebench_verified::django__django-12325,ok,1.0,0.125,5344,,django/django,python
swebench_verified::django__django-15277,ok,1.0,0.027777777777777776,5479,,django/django,python
swebench_verified::django__django-14238,ok,1.0,0.05,4542,,django/django,python
swebench_verified::django__django-11951,ok,1.0,0.5,4099,,django/django,python
swebench_verified::django__django-11749,ok,1.0,0.04,5783,,django/django,python
swebench_verified::django__django-15252,ok,1.0,0.06666666666666667,5480,,django/django,python
swebench_verified::django__django-12406,ok,1.0,0.2857142857142857,4158,,django/django,python
swebench_verified::django__django-16263,ok,1.0,1.0,4920,,django/django,python
swebench_verified::django__django-10999,ok,1.0,0.037037037037037035,5808,,django/django,python
swebench_verified::django__django-14580,ok,1.0,0.038461538461538464,5142,,django/django,python
swebench_verified::django__django-15863,ok,1.0,0.09090909090909091,5403,,django/django,python
swebench_verified::django__django-13315,ok,1.0,0.08333333333333333,4186,,django/django,python
swebench_verified::django__django-16485,ok,1.0,0.09090909090909091,5403,,django/django,python
swebench_verified::django__django-16801,ok,1.0,0.05555555555555555,5299,,django/django,python
swebench_verified::django__django-12193,ok,1.0,0.5,3847,,django/django,python
swebench_verified::django__django-13837,ok,1.0,0.2,2659,,django/django,python
swebench_verified::django__django-13810,ok,1.0,0.038461538461538464,6466,,django/django,python
swebench_verified::django__django-12965,ok,1.0,0.07692307692307693,6037,,django/django,python
swebench_verified::django__django-13933,ok,1.0,0.3333333333333333,4350,,django/django,python
swebench_verified::django__django-16255,ok,1.0,0.05263157894736842,5631,,django/django,python
swebench_verified::django__django-12708,ok,1.0,0.2,5088,,django/django,python
swebench_verified::django__django-13401,ok,1.0,0.037037037037037035,3046,,django/django,python
swebench_verified::django__django-14855,ok,1.0,0.05555555555555555,5151,,django/django,python
swebench_verified::django__django-14140,ok,1.0,0.03333333333333333,5381,,django/django,python
swebench_verified::django__django-14017,ok,1.0,0.045454545454545456,5513,,django/django,python
swebench_verified::django__django-17087,ok,1.0,0.05,4508,,django/django,python
swebench_verified::django__django-14771,ok,1.0,0.25,2023,,django/django,python
swebench_verified::django__django-11066,ok,1.0,0.03125,5589,,django/django,python
swebench_verified::django__django-12304,ok,1.0,0.037037037037037035,6581,,django/django,python
swebench_verified::django__django-14765,ok,1.0,0.5,5499,,django/django,python
swebench_verified::django__django-12741,ok,1.0,0.25,4753,,django/django,python
swebench_verified::django__django-12276,ok,1.0,0.3333333333333333,3860,,django/django,python
swebench_verified::django__django-12143,ok,1.0,0.07692307692307693,4983,,django/django,python
swebench_verified::django__django-16560,ok,1.0,0.18181818181818182,4671,,django/django,python
swebench_verified::django__django-13410,ok,1.0,0.25,1403,,django/django,python
swebench_verified::django__django-11333,ok,1.0,0.18181818181818182,4595,,django/django,python
swebench_verified::django__django-11206,ok,1.0,0.04,6080,,django/django,python
swebench_verified::django__django-12039,ok,1.0,0.05,5125,,django/django,python
swebench_verified::django__django-16612,ok,1.0,0.043478260869565216,5731,,django/django,python
swebench_verified::django__django-15554,ok,1.0,0.2,5199,,django/django,python
swebench_verified::django__django-16116,ok,1.0,0.5,6824,,django/django,python
swebench_verified::django__django-12713,ok,1.0,0.043478260869565216,5259,,django/django,python
swebench_verified::django__django-14311,ok,1.0,0.5,1662,,django/django,python
swebench_verified::django__django-12209,ok,1.0,0.5,2213,,django/django,python
swebench_verified::django__django-11141,ok,1.0,0.0625,4101,,django/django,python
swebench_verified::django__django-14434,ok,1.0,0.125,4970,,django/django,python
swebench_verified::django__django-15814,ok,1.0,0.25,4671,,django/django,python
swebench_verified::django__django-14007,ok,1.0,0.034482758620689655,5848,,django/django,python
swebench_verified::django__django-16333,ok,1.0,0.09090909090909091,2730,,django/django,python
swebench_verified::django__django-15695,ok,1.0,0.14285714285714285,1149,,django/django,python
swebench_verified::django__django-13513,ok,1.0,0.1111111111111111,2678,,django/django,python
swebench_verified::django__django-15930,ok,1.0,0.3333333333333333,2836,,django/django,python
swebench_verified::django__django-15315,ok,1.0,0.16666666666666666,732,,django/django,python
swebench_verified::django__django-12774,ok,1.0,0.5,4104,,django/django,python
swebench_verified::django__django-11299,ok,1.0,0.3333333333333333,4503,,django/django,python
swebench_verified::django__django-12262,ok,1.0,0.1,2845,,django/django,python
swebench_verified::django__django-16429,ok,1.0,0.05,5999,,django/django,python
swebench_verified::django__django-14539,ok,1.0,0.05555555555555555,4488,,django/django,python
swebench_verified::django__django-13279,ok,1.0,0.058823529411764705,5106,,django/django,python
swebench_verified::django__django-15629,ok,1.0,0.4,5677,,django/django,python
swebench_verified::django__django-15561,ok,1.0,0.18181818181818182,4071,,django/django,python
swebench_verified::django__django-14170,ok,1.0,0.25,4195,,django/django,python
swebench_verified::django__django-13363,ok,1.0,0.3333333333333333,1015,,django/django,python
swebench_verified::django__django-15380,ok,1.0,0.07142857142857142,5570,,django/django,python
swebench_verified::django__django-14493,ok,1.0,0.1111111111111111,6192,,django/django,python
swebench_verified::django__django-13590,ok,1.0,0.5,4300,,django/django,python
swebench_verified::django__django-13417,ok,1.0,0.3333333333333333,4030,,django/django,python
swebench_verified::django__django-16256,ok,1.0,0.2857142857142857,5270,,django/django,python
swebench_verified::django__django-11551,ok,1.0,0.2,5599,,django/django,python
swebench_verified::django__django-13028,ok,1.0,0.25,4317,,django/django,python
swebench_verified::django__django-13158,ok,1.0,0.3333333333333333,4399,,django/django,python
swebench_verified::django__django-11095,ok,1.0,0.25,4736,,django/django,python
swebench_verified::django__django-15382,ok,1.0,0.5,2792,,django/django,python
swebench_verified::django__django-15987,ok,1.0,0.3333333333333333,2346,,django/django,python
swebench_verified::django__django-14608,ok,1.0,0.3333333333333333,1851,,django/django,python
swebench_verified::django__django-13551,ok,1.0,0.03571428571428571,6098,,django/django,python
swebench_verified::django__django-12419,ok,1.0,0.08333333333333333,7517,,django/django,python
swebench_verified::django__django-16315,ok,1.0,0.4,4195,,django/django,python
swebench_verified::django__django-11087,ok,1.0,0.02631578947368421,4375,,django/django,python
swebench_verified::django__django-10880,ok,1.0,0.16666666666666666,1503,,django/django,python
swebench_verified::django__django-9296,ok,1.0,0.045454545454545456,5837,,django/django,python
swebench_verified::django__django-14631,ok,1.0,0.13333333333333333,6542,,django/django,python
swebench_verified::django__django-13406,ok,1.0,0.09090909090909091,3656,,django/django,python
swebench_verified::django__django-11133,ok,1.0,0.5,4423,,django/django,python
swebench_verified::django__django-11999,ok,1.0,0.04,6197,,django/django,python
swebench_verified::django__django-15503,ok,1.0,0.09090909090909091,4682,,django/django,python
swebench_verified::django__django-13297,ok,1.0,0.02702702702702703,5007,,django/django,python
swebench_verified::django__django-12125,ok,1.0,0.041666666666666664,5456,,django/django,python
swebench_verified::django__django-15916,ok,1.0,0.09090909090909091,4476,,django/django,python
swebench_verified::django__django-15569,ok,1.0,0.047619047619047616,5397,,django/django,python
swebench_verified::django__django-13807,ok,1.0,0.1111111111111111,2448,,django/django,python
swebench_verified::django__django-15741,ok,1.0,0.030303030303030304,5943,,django/django,python
swebench_verified::django__django-14500,ok,1.0,0.05,6004,,django/django,python
swebench_verified::django__django-11555,ok,1.0,0.05555555555555555,5903,,django/django,python
swebench_verified::django__django-14534,ok,1.0,0.038461538461538464,5519,,django/django,python
swebench_verified::django__django-16145,ok,1.0,0.037037037037037035,6544,,django/django,python
swebench_verified::django__django-12273,ok,1.0,0.3333333333333333,4923,,django/django,python
swebench_verified::django__django-15731,ok,1.0,0.027777777777777776,5121,,django/django,python
swebench_verified::django__django-15280,ok,1.0,0.3333333333333333,4952,,django/django,python
swebench_verified::django__django-15161,ok,1.0,0.25,2909,,django/django,python
swebench_verified::django__django-13820,ok,1.0,0.04,6254,,django/django,python
swebench_verified::django__django-17029,ok,1.0,0.03225806451612903,5525,,django/django,python
swebench_verified::django__django-15127,ok,1.0,0.05263157894736842,1737,,django/django,python
swebench_verified::django__django-16877,ok,1.0,0.05263157894736842,5023,,django/django,python
swebench_verified::django__django-11734,ok,1.0,0.2727272727272727,4358,,django/django,python
swebench_verified::django__django-14915,ok,1.0,0.14285714285714285,2414,,django/django,python
