instance_id,status,file_recall,file_precision,used_tokens,nontrivial_file_recall,repo,language
polybench500::Significant-Gravitas__AutoGPT-4652,ok,1.0,0.02631578947368421,4959,,Significant-Gravitas/AutoGPT,python
polybench500::apache__dubbo-4521,ok,1.0,0.2222222222222222,6292,,apache/dubbo,java
polybench500::apache__dubbo-5356,ok,1.0,1.0,5912,,apache/dubbo,java
polybench500::apache__dubbo-3013,ok,1.0,0.47368421052631576,6245,,apache/dubbo,java
polybench500::apache__dubbo-3093,apply_fail,0.0,0.0,0,,apache/dubbo,java
polybench500::apache__dubbo-2750,ok,1.0,0.3333333333333333,5084,,apache/dubbo,java
polybench500::apache__dubbo-3590,ok,1.0,0.125,4373,,apache/dubbo,java
polybench500::apache__dubbo-8126,ok,1.0,0.03571428571428571,5524,,apache/dubbo,java
polybench500::apache__dubbo-6551,ok,1.0,0.2,4985,,apache/dubbo,java
polybench500::angular__angular-37561,ok,1.0,0.027777777777777776,5174,,angular/angular,typescript
polybench500::apache__dubbo-3479,apply_fail,0.0,0.0,0,,apache/dubbo,java
polybench500::apache__dubbo-11420,ok,1.0,0.4,4877,,apache/dubbo,java
polybench500::apache__dubbo-10846,ok,1.0,0.037037037037037035,6152,,apache/dubbo,java
polybench500::apache__dubbo-3855,ok,1.0,0.05263157894736842,5979,,apache/dubbo,java
polybench500::apache__dubbo-8032,ok,1.0,0.3333333333333333,4360,,apache/dubbo,java
polybench500::apache__dubbo-4379,ok,1.0,0.2,4484,,apache/dubbo,java
polybench500::apache__dubbo-4660,ok,1.0,0.1111111111111111,5446,,apache/dubbo,java
polybench500::apache__dubbo-5783,ok,1.0,0.08333333333333333,5126,,apache/dubbo,java
polybench500::apache__dubbo-4026,ok,1.0,0.1111111111111111,3621,,apache/dubbo,java
polybench500::apache__dubbo-7938,ok,1.0,0.2857142857142857,3407,,apache/dubbo,java
polybench500::apache__dubbo-8623,apply_fail,0.0,0.0,0,,apache/dubbo,java
polybench500::apache__dubbo-11255,ok,1.0,0.037037037037037035,6592,,apache/dubbo,java
polybench500::apache__dubbo-13869,ok,1.0,0.04878048780487805,5955,,apache/dubbo,java
polybench500::apache__dubbo-8029,ok,1.0,0.11538461538461539,5877,,apache/dubbo,java
polybench500::apache__rocketmq-516,ok,1.0,0.25,2107,,apache/rocketmq,java
polybench500::angular__angular-37484,ok,1.0,0.07407407407407407,4917,,angular/angular,typescript
polybench500::apache__rocketmq-3862,ok,1.0,0.125,6116,,apache/rocketmq,java
polybench500::apache__rocketmq-8051,ok,1.0,0.5555555555555556,6436,,apache/rocketmq,java
polybench500::apache__rocketmq-1636,ok,1.0,0.041666666666666664,4088,,apache/rocketmq,java
polybench500::apache__rocketmq-7544,ok,1.0,0.7368421052631579,6513,,apache/rocketmq,java
polybench500::apache__rocketmq-3927,ok,0.5,0.0625,6149,,apache/rocketmq,java
polybench500::apache__rocketmq-5062,ok,1.0,0.3333333333333333,5626,,apache/rocketmq,java
polybench500::apache__rocketmq-7420,ok,1.0,0.5,955,,apache/rocketmq,java
polybench500::apache__rocketmq-5834,ok,1.0,0.7272727272727273,7028,,apache/rocketmq,java
polybench500::apache__rocketmq-6401,ok,1.0,0.15384615384615385,6078,,apache/rocketmq,java
polybench500::apache__rocketmq-7917,ok,1.0,0.05555555555555555,6268,,apache/rocketmq,java
polybench500::apache__rocketmq-5865,ok,1.0,0.0625,5381,,apache/rocketmq,java
polybench500::apache__rocketmq-4763,ok,1.0,0.2727272727272727,4760,,apache/rocketmq,java
polybench500::apache__rocketmq-7455,ok,1.0,0.0273972602739726,3627,,apache/rocketmq,java
polybench500::apache__rocketmq-6755,ok,0.8888888888888888,0.6666666666666666,5875,,apache/rocketmq,java
polybench500::apache__rocketmq-6455,ok,1.0,0.875,6604,,apache/rocketmq,java
polybench500::apache__rocketmq-4504,ok,1.0,0.16666666666666666,5557,,apache/rocketmq,java
polybench500::apache__rocketmq-7712,ok,1.0,0.1,5430,,apache/rocketmq,java
polybench500::apache__rocketmq-3881,ok,1.0,0.4,6086,,apache/rocketmq,java
polybench500::apache__rocketmq-5008,ok,1.0,0.5384615384615384,6369,,apache/rocketmq,java
polybench500::apache__rocketmq-5706,ok,1.0,0.6,4907,,apache/rocketmq,java
polybench500::apache__rocketmq-7655,ok,1.0,0.05263157894736842,6563,,apache/rocketmq,java
polybench500::apache__rocketmq-5196,ok,1.0,0.1111111111111111,5747,,apache/rocketmq,java
polybench500::apache__rocketmq-1742,ok,1.0,0.125,4560,,apache/rocketmq,java
polybench500::apache__rocketmq-7964,ok,1.0,0.05,5832,,apache/rocketmq,java
polybench500::apache__rocketmq-3958,ok,1.0,0.125,2299,,apache/rocketmq,java
polybench500::apache__rocketmq-7426,ok,1.0,0.03225806451612903,5438,,apache/rocketmq,java
polybench500::apache__rocketmq-5286,ok,1.0,0.3,7063,,apache/rocketmq,java
polybench500::apache__rocketmq-4457,ok,1.0,0.06666666666666667,6080,,apache/rocketmq,java
polybench500::apache__rocketmq-4122,ok,1.0,0.3333333333333333,5192,,apache/rocketmq,java
polybench500::apache__rocketmq-6522,ok,0.9411764705882353,0.9411764705882353,6599,,apache/rocketmq,java
polybench500::apache__rocketmq-5633,ok,1.0,0.18181818181818182,4596,,apache/rocketmq,java
polybench500::apache__rocketmq-5037,ok,1.0,0.10526315789473684,6352,,apache/rocketmq,java
polybench500::apolloconfig__apollo-4568,ok,1.0,0.09090909090909091,6595,,apolloconfig/apollo,java
polybench500::apolloconfig__apollo-4464,ok,1.0,1.0,5048,,apolloconfig/apollo,java
polybench500::apolloconfig__apollo-4199,ok,1.0,0.26666666666666666,5322,,apolloconfig/apollo,java
polybench500::apache__rocketmq-6651,ok,1.0,0.05263157894736842,6101,,apache/rocketmq,java
polybench500::apolloconfig__apollo-4207,ok,1.0,0.08823529411764706,5187,,apolloconfig/apollo,java
polybench500::coder__code-server-5633,ok,1.0,0.3,5846,,coder/code-server,typescript
polybench500::coder__code-server-6225,ok,1.0,0.2777777777777778,6222,,coder/code-server,typescript
polybench500::apolloconfig__apollo-1894,ok,1.0,0.03125,5476,,apolloconfig/apollo,java
polybench500::coder__code-server-4923,ok,1.0,0.13333333333333333,6216,,coder/code-server,typescript
polybench500::coder__code-server-4678,ok,0.9166666666666666,0.4782608695652174,5337,,coder/code-server,typescript
polybench500::coder__code-server-6423,ok,1.0,0.5,3790,,coder/code-server,typescript
polybench500::coder__code-server-6115,ok,1.0,0.3333333333333333,4452,,coder/code-server,typescript
polybench500::coder__code-server-4597,ok,1.0,0.2692307692307692,4154,,coder/code-server,typescript
polybench500::google__gson-2130,ok,1.0,0.3333333333333333,1193,,google/gson,java
