instance_id,status,file_recall,file_precision,used_tokens,nontrivial_file_recall,repo,language
swebench_verified::astropy__astropy-13453,ok,1.0,0.2,6555,,astropy/astropy,python
swebench_verified::astropy__astropy-7166,ok,1.0,0.25,5358,,astropy/astropy,python
swebench_verified::astropy__astropy-7606,ok,1.0,0.5,383,,astropy/astropy,python
swebench_verified::astropy__astropy-13579,ok,1.0,0.058823529411764705,6032,,astropy/astropy,python
swebench_verified::astropy__astropy-13033,ok,1.0,0.03571428571428571,4978,,astropy/astropy,python
swebench_verified::astropy__astropy-14096,ok,1.0,0.04,6679,,astropy/astropy,python
swebench_verified::astropy__astropy-7336,ok,1.0,0.2,4862,,astropy/astropy,python
swebench_verified::astropy__astropy-13977,ok,1.0,0.3333333333333333,4325,,astropy/astropy,python
swebench_verified::astropy__astropy-13398,ok,1.0,0.16666666666666666,5863,,astropy/astropy,python
swebench_verified::astropy__astropy-13236,ok,1.0,0.1,5354,,astropy/astropy,python
swebench_verified::astropy__astropy-14182,ok,1.0,0.2,6557,,astropy/astropy,python
swebench_verified::astropy__astropy-14995,ok,1.0,0.5,6377,,astropy/astropy,python
swebench_verified::astropy__astropy-7671,ok,1.0,0.3333333333333333,3339,,astropy/astropy,python
swebench_verified::astropy__astropy-8707,ok,1.0,0.04081632653061224,4292,,astropy/astropy,python
swebench_verified::astropy__astropy-8872,ok,1.0,0.08333333333333333,3964,,astropy/astropy,python
swebench_verified::astropy__astropy-14365,ok,1.0,0.045454545454545456,6091,,astropy/astropy,python
swebench_verified::astropy__astropy-14369,ok,1.0,0.3333333333333333,6433,,astropy/astropy,python
swebench_verified::astropy__astropy-14598,ok,1.0,0.1,6598,,astropy/astropy,python
swebench_verified::astropy__astropy-14508,ok,1.0,0.04,6685,,astropy/astropy,python
swebench_verified::astropy__astropy-14539,ok,1.0,0.3333333333333333,6099,,astropy/astropy,python
swebench_verified::django__django-14672,ok,1.0,0.3333333333333333,1321,,django/django,python
swebench_verified::django__django-11740,ok,1.0,0.14285714285714285,5896,,django/django,python
swebench_verified::django__django-14787,ok,1.0,0.14285714285714285,2153,,django/django,python
swebench_verified::django__django-16667,ok,1.0,0.25,4453,,django/django,python
swebench_verified::django__django-11728,ok,1.0,0.05,4152,,django/django,python
swebench_verified::astropy__astropy-14309,ok,1.0,0.1,6041,,astropy/astropy,python
swebench_verified::astropy__astropy-12907,ok,1.0,0.037037037037037035,5558,,astropy/astropy,python
swebench_verified::django__django-11885,ok,1.0,0.07142857142857142,6396,,django/django,python
swebench_verified::django__django-11880,ok,1.0,0.14285714285714285,4179,,django/django,python
swebench_verified::django__django-15278,ok,1.0,0.029411764705882353,5040,,django/django,python
swebench_verified::django__django-15268,ok,1.0,0.3333333333333333,3618,,django/django,python
swebench_verified::django__django-14351,ok,1.0,0.03225806451612903,4157,,django/django,python
swebench_verified::django__django-13658,ok,1.0,0.05263157894736842,6337,,django/django,python
swebench_verified::django__django-13112,ok,1.0,0.045454545454545456,6812,,django/django,python
swebench_verified::django__django-14725,ok,1.0,0.125,4384,,django/django,python
swebench_verified::django__django-15572,ok,1.0,0.25,2462,,django/django,python
swebench_verified::django__django-16819,ok,1.0,0.2,3710,,django/django,python
swebench_verified::django__django-16032,ok,1.0,0.10526315789473684,5701,,django/django,python
swebench_verified::django__django-16662,ok,1.0,0.02857142857142857,4930,,django/django,python
swebench_verified::django__django-16938,ok,1.0,0.07407407407407407,3099,,django/django,python
swebench_verified::django__django-13925,ok,1.0,0.25,5306,,django/django,python
swebench_verified::django__django-16454,ok,1.0,0.09090909090909091,5306,,django/django,python
swebench_verified::django__django-10554,ok,1.0,0.125,4439,,django/django,python
swebench_verified::django__django-14053,ok,1.0,0.08333333333333333,5074,,django/django,python
swebench_verified::django__django-14315,ok,1.0,0.058823529411764705,5724,,django/django,python
swebench_verified::django__django-13195,ok,1.0,0.1,3952,,django/django,python
swebench_verified::django__django-12754,ok,1.0,0.023255813953488372,4434,,django/django,python
swebench_verified::django__django-16136,ok,1.0,0.058823529411764705,4052,,django/django,python
swebench_verified::django__django-11179,ok,1.0,0.027777777777777776,4118,,django/django,python
swebench_verified::django__django-11265,ok,1.0,0.08333333333333333,4661,,django/django,python
swebench_verified::django__django-13569,ok,1.0,0.5,98,,django/django,python
swebench_verified::django__django-13012,ok,1.0,0.25,2877,,django/django,python
swebench_verified::django__django-11433,ok,1.0,0.25,4753,,django/django,python
swebench_verified::django__django-16502,ok,1.0,0.02631578947368421,4445,,django/django,python
swebench_verified::django__django-11400,ok,1.0,0.11538461538461539,3840,,django/django,python
swebench_verified::django__django-15973,ok,1.0,0.07142857142857142,5649,,django/django,python
swebench_verified::django__django-13089,ok,1.0,0.034482758620689655,6266,,django/django,python
swebench_verified::django__django-11276,ok,1.0,0.043478260869565216,5796,,django/django,python
swebench_verified::django__django-16569,ok,1.0,0.16666666666666666,1005,,django/django,python
swebench_verified::django__django-15098,ok,1.0,0.02702702702702703,6040,,django/django,python
swebench_verified::django__django-13449,ok,1.0,0.125,3104,,django/django,python
swebench_verified::django__django-12308,ok,1.0,0.0625,5817,,django/django,python
swebench_verified::django__django-13128,ok,1.0,0.1111111111111111,3360,,django/django,python
swebench_verified::django__django-12325,ok,1.0,0.09523809523809523,5611,,django/django,python
swebench_verified::django__django-14155,ok,1.0,0.04,4229,,django/django,python
swebench_verified::django__django-15277,ok,1.0,0.037037037037037035,5744,,django/django,python
swebench_verified::django__django-14238,ok,1.0,0.3333333333333333,3382,,django/django,python
swebench_verified::django__django-11951,ok,1.0,0.06666666666666667,4374,,django/django,python
swebench_verified::django__django-11749,ok,1.0,0.047619047619047616,6228,,django/django,python
swebench_verified::django__django-15252,ok,1.0,0.09090909090909091,5673,,django/django,python
swebench_verified::django__django-12406,ok,1.0,0.2,4214,,django/django,python
swebench_verified::django__django-16263,ok,1.0,0.5714285714285714,5159,,django/django,python
swebench_verified::django__django-10999,ok,1.0,0.07142857142857142,5919,,django/django,python
swebench_verified::django__django-14580,ok,1.0,0.01639344262295082,3653,,django/django,python
swebench_verified::django__django-15863,ok,1.0,0.3333333333333333,5342,,django/django,python
swebench_verified::django__django-13315,ok,1.0,0.06666666666666667,4339,,django/django,python
swebench_verified::django__django-16485,ok,1.0,0.3333333333333333,5342,,django/django,python
swebench_verified::django__django-12193,ok,1.0,0.07692307692307693,4040,,django/django,python
swebench_verified::django__django-16801,ok,1.0,0.058823529411764705,5119,,django/django,python
swebench_verified::django__django-13837,ok,1.0,0.5,543,,django/django,python
swebench_verified::django__django-12965,ok,1.0,0.5,5668,,django/django,python
swebench_verified::django__django-13810,ok,1.0,0.041666666666666664,6594,,django/django,python
swebench_verified::django__django-13933,ok,1.0,0.5,4583,,django/django,python
swebench_verified::django__django-16255,ok,1.0,0.07692307692307693,6518,,django/django,python
swebench_verified::django__django-12708,ok,1.0,0.041666666666666664,4781,,django/django,python
swebench_verified::django__django-14855,ok,1.0,0.043478260869565216,4709,,django/django,python
swebench_verified::django__django-13401,ok,1.0,0.027777777777777776,3920,,django/django,python
swebench_verified::django__django-14017,ok,1.0,0.038461538461538464,6198,,django/django,python
swebench_verified::django__django-14140,ok,1.0,0.034482758620689655,5767,,django/django,python
swebench_verified::django__django-17087,ok,1.0,0.058823529411764705,5154,,django/django,python
swebench_verified::django__django-14771,ok,1.0,0.25,4285,,django/django,python
swebench_verified::django__django-11066,ok,1.0,0.034482758620689655,5941,,django/django,python
swebench_verified::django__django-12741,ok,1.0,0.11764705882352941,5556,,django/django,python
swebench_verified::django__django-14765,ok,1.0,0.5,5595,,django/django,python
swebench_verified::django__django-12276,ok,1.0,0.16666666666666666,4020,,django/django,python
swebench_verified::django__django-12304,ok,1.0,0.047619047619047616,6683,,django/django,python
swebench_verified::django__django-12143,ok,1.0,0.047619047619047616,4503,,django/django,python
