instance_id,status,file_recall,file_precision,used_tokens,nontrivial_file_recall,repo,language
polybench500::Significant-Gravitas__AutoGPT-4652,ok,1.0,0.02631578947368421,4959,,Significant-Gravitas/AutoGPT,python
polybench500::apache__dubbo-4521,ok,1.0,0.2857142857142857,6168,,apache/dubbo,java
polybench500::apache__dubbo-5356,ok,1.0,1.0,5912,,apache/dubbo,java
polybench500::apache__dubbo-3013,ok,1.0,0.47368421052631576,5973,,apache/dubbo,java
polybench500::apache__dubbo-3093,apply_fail,0.0,0.0,0,,apache/dubbo,java
polybench500::apache__dubbo-2750,ok,1.0,0.25,5121,,apache/dubbo,java
polybench500::apache__dubbo-3590,ok,1.0,0.125,4433,,apache/dubbo,java
polybench500::apache__dubbo-8126,ok,1.0,0.037037037037037035,3940,,apache/dubbo,java
polybench500::apache__dubbo-6551,ok,1.0,0.25,6027,,apache/dubbo,java
polybench500::angular__angular-37561,ok,1.0,0.025,4501,,angular/angular,typescript
polybench500::apache__dubbo-10846,ok,1.0,0.047619047619047616,5032,,apache/dubbo,java
polybench500::apache__dubbo-3479,apply_fail,0.0,0.0,0,,apache/dubbo,java
polybench500::apache__dubbo-11420,ok,1.0,0.4,4591,,apache/dubbo,java
polybench500::apache__dubbo-3855,ok,1.0,0.034482758620689655,5102,,apache/dubbo,java
polybench500::apache__dubbo-8032,ok,1.0,0.2727272727272727,4381,,apache/dubbo,java
polybench500::apache__dubbo-4660,ok,1.0,0.1111111111111111,5319,,apache/dubbo,java
polybench500::apache__dubbo-4379,ok,1.0,0.19230769230769232,4477,,apache/dubbo,java
polybench500::apache__dubbo-5783,ok,1.0,0.05263157894736842,6801,,apache/dubbo,java
polybench500::apache__dubbo-11255,ok,1.0,0.037037037037037035,4918,,apache/dubbo,java
polybench500::apache__dubbo-4026,ok,1.0,0.1,5872,,apache/dubbo,java
polybench500::apache__dubbo-8623,apply_fail,0.0,0.0,0,,apache/dubbo,java
polybench500::apache__dubbo-13869,ok,1.0,0.04878048780487805,5950,,apache/dubbo,java
polybench500::apache__dubbo-7938,ok,1.0,0.2222222222222222,4922,,apache/dubbo,java
polybench500::apache__dubbo-8029,ok,1.0,0.1875,5199,,apache/dubbo,java
polybench500::apache__rocketmq-3862,ok,1.0,0.14285714285714285,5794,,apache/rocketmq,java
polybench500::apache__rocketmq-8051,ok,1.0,0.5,6436,,apache/rocketmq,java
polybench500::apache__rocketmq-516,ok,1.0,0.25,4752,,apache/rocketmq,java
polybench500::angular__angular-37484,ok,1.0,0.058823529411764705,4516,,angular/angular,typescript
polybench500::apache__rocketmq-1636,ok,1.0,0.045454545454545456,3809,,apache/rocketmq,java
polybench500::apache__rocketmq-7544,ok,1.0,0.7368421052631579,6529,,apache/rocketmq,java
polybench500::apache__rocketmq-3927,ok,0.5,0.07692307692307693,6037,,apache/rocketmq,java
polybench500::apache__rocketmq-5834,ok,1.0,0.7272727272727273,7037,,apache/rocketmq,java
polybench500::apache__rocketmq-7420,ok,1.0,0.4,6728,,apache/rocketmq,java
polybench500::apache__rocketmq-5062,ok,1.0,0.3076923076923077,5674,,apache/rocketmq,java
polybench500::apache__rocketmq-6401,ok,1.0,0.18181818181818182,5094,,apache/rocketmq,java
polybench500::apache__rocketmq-7917,ok,1.0,0.043478260869565216,5919,,apache/rocketmq,java
polybench500::apache__rocketmq-4763,ok,1.0,0.2727272727272727,4760,,apache/rocketmq,java
polybench500::apache__rocketmq-5865,ok,1.0,0.08695652173913043,5201,,apache/rocketmq,java
polybench500::apache__rocketmq-7455,ok,1.0,0.0273972602739726,3627,,apache/rocketmq,java
polybench500::apache__rocketmq-6455,ok,1.0,0.7,6582,,apache/rocketmq,java
polybench500::apache__rocketmq-6755,ok,0.8888888888888888,0.6666666666666666,5875,,apache/rocketmq,java
polybench500::apache__rocketmq-4504,ok,1.0,0.16666666666666666,5557,,apache/rocketmq,java
polybench500::apache__rocketmq-7712,ok,1.0,0.25,5297,,apache/rocketmq,java
polybench500::apache__rocketmq-3881,ok,1.0,0.3333333333333333,6175,,apache/rocketmq,java
polybench500::apache__rocketmq-7655,ok,1.0,0.025,5211,,apache/rocketmq,java
