instance_id,status,file_recall,file_precision,used_tokens,nontrivial_file_recall,repo,language
swebench_verified::astropy__astropy-13453,ok,1.0,0.16666666666666666,5936,,astropy/astropy,python
swebench_verified::astropy__astropy-7166,ok,1.0,0.2,5358,,astropy/astropy,python
swebench_verified::astropy__astropy-7606,ok,1.0,0.5,4087,,astropy/astropy,python
swebench_verified::astropy__astropy-13579,ok,1.0,0.058823529411764705,6032,,astropy/astropy,python
swebench_verified::astropy__astropy-13033,ok,1.0,0.03571428571428571,4978,,astropy/astropy,python
swebench_verified::astropy__astropy-14096,ok,1.0,0.025,4754,,astropy/astropy,python
swebench_verified::astropy__astropy-13236,ok,1.0,0.25,4852,,astropy/astropy,python
swebench_verified::astropy__astropy-7336,ok,1.0,0.2,6451,,astropy/astropy,python
swebench_verified::astropy__astropy-13977,ok,1.0,0.3333333333333333,4325,,astropy/astropy,python
swebench_verified::astropy__astropy-13398,ok,1.0,0.16,5939,,astropy/astropy,python
swebench_verified::astropy__astropy-14182,ok,1.0,0.2,5829,,astropy/astropy,python
swebench_verified::astropy__astropy-7671,ok,1.0,0.2,6518,,astropy/astropy,python
swebench_verified::astropy__astropy-14995,ok,1.0,0.5,6506,,astropy/astropy,python
swebench_verified::astropy__astropy-8707,ok,1.0,0.04081632653061224,4292,,astropy/astropy,python
swebench_verified::astropy__astropy-8872,ok,1.0,0.25,4487,,astropy/astropy,python
swebench_verified::astropy__astropy-14365,ok,1.0,0.05,6146,,astropy/astropy,python
swebench_verified::astropy__astropy-14369,ok,1.0,0.3333333333333333,6433,,astropy/astropy,python
swebench_verified::astropy__astropy-14598,ok,1.0,0.14285714285714285,5800,,astropy/astropy,python
swebench_verified::astropy__astropy-14508,ok,1.0,0.016129032258064516,4086,,astropy/astropy,python
swebench_verified::astropy__astropy-14539,ok,1.0,0.3333333333333333,6099,,astropy/astropy,python
swebench_verified::django__django-14672,ok,1.0,0.3333333333333333,2985,,django/django,python
swebench_verified::django__django-11740,ok,1.0,0.14285714285714285,5896,,django/django,python
swebench_verified::django__django-14787,ok,1.0,0.03333333333333333,5468,,django/django,python
swebench_verified::astropy__astropy-14309,ok,1.0,0.08333333333333333,6693,,astropy/astropy,python
swebench_verified::django__django-16667,ok,1.0,0.25,4453,,django/django,python
swebench_verified::astropy__astropy-12907,ok,1.0,0.037037037037037035,5558,,astropy/astropy,python
swebench_verified::django__django-11728,ok,1.0,0.02702702702702703,5480,,django/django,python
swebench_verified::django__django-11885,ok,1.0,0.06666666666666667,4422,,django/django,python
swebench_verified::django__django-11880,ok,1.0,0.14285714285714285,4179,,django/django,python
swebench_verified::django__django-15278,ok,1.0,0.029411764705882353,5040,,django/django,python
