instance_id,status,ego_tokens,bm25_tokens,sum_tokens,dedup_union_tokens,n_nontrivial_gold,nontrivial_recall_union
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__deb49033__6500928dc0e5,ok,5939,6454,12393,7529,6,1.0
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__71f348da__0df94ff70979,ok,6032,1358,7390,6414,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__1d90db61__1a4462d72eb0,ok,6639,2269,8908,8501,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__e5a3bf2a__c0a24c1dc957,ok,6099,5871,11970,7631,1,1.0
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__3185b834__80c3854a5f4f,ok,6572,3101,9673,7061,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__1ce4c38e__b16c7d12ccbc,ok,6377,1088,7465,6834,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__93721db4__838e432e3e55,ok,6100,1503,7603,6949,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__1a760e52__d26b2424437d,ok,911,832,1743,1142,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__55a3ef80__e6588aa4e793,ok,4947,3140,8087,6228,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__9a05fe0c__19fc6376ce67,ok,4118,1636,5754,4888,1,1.0
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__2d5d4dcd__1f8382d34d54,ok,3810,2722,6532,4953,1,1.0
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__12d848d7__21b1d239125f,ok,4753,1195,5948,5480,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__7489fdd8__e065b293878b,ok,5444,834,6278,5616,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__80c9776a__8dd5877f58f8,ok,5353,5177,10530,6857,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__607f6b9e__f618e033acd3,ok,4175,462,4637,4396,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__6f3e4cd9__350123f38c2b,ok,5930,1229,7159,6348,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__e97ac668__b1d6b35e146a,ok,5323,1549,6872,6423,1,1.0
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__3e44d93a__e02f67ef2d03,ok,7160,446,7606,7425,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__409b7811__c2678e49759e,ok,5156,5030,10186,7678,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__bdde6d9c__89d41cba392b,ok,6017,908,6925,6394,1,0.0
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__81f2c925__5573a54d409b,ok,4503,2304,6807,4977,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__dc72c033__e8fcdaad5c42,ok,5920,3055,8975,6808,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__986c9e85__3fb7c12158a2,ok,4040,3724,7764,5083,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__46dc77a5__69331bb851c3,ok,2976,1786,4762,3453,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__497deb6f__335c9c94acf2,ok,4214,4160,8374,6120,4,0.5
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__16c72e4c__7fa1a93c6c81,ok,6878,7138,14016,7809,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__61a7a81e__fa5e7e46d875,ok,4286,742,5028,4671,5,0.6
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__90f381a2__f2051eb8a7fe,ok,5241,1673,6914,5730,2,1.0
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__2c34be8a__22a59c01c00c,ok,2877,992,3869,3068,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__5555e84c__f83b44075daf,ok,3622,2241,5863,4304,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__4d207ce8__78ad4b4b0201,ok,4558,4320,8878,6531,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__05a89a66__fbe82f82555b,ok,4719,2998,7717,5759,3,1.0
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__84effcbc__7af8f4127397,ok,5079,862,5941,5368,3,0.6666666666666666
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__abfdb2c5__156a2138db20,ok,3952,3791,7743,6037,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__5c82134f__ece18207cbb6,ok,4307,1845,6152,5291,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__1ae3c3bd__71ae1ab01235,ok,4375,4459,8834,5542,2,0.5
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__f8da42bc__2a55431a5678,ok,3104,694,3798,3475,1,0.0
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__ee10f0e4__6599608c4d0b,ok,5750,1075,6825,6141,3,0.3333333333333333
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__d2a786e2__b7da588e883e,ok,5426,551,5977,5652,1,0.0
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__768d44e5__7f9e4524d6b2,ok,4366,2128,6494,5537,2,1.0
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__c923cfa8__bef6f7584280,ok,5361,1156,6517,5687,2,1.0
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__c4c8d376__0c42cdf0d242,ok,5306,4595,9901,7816,4,0.25
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__96afaad2__d01709aae21d,ok,2477,958,3435,2763,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__45db86cf__45814af6197c,ok,5767,650,6417,6162,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__227490c2__5a8e8f80bb82,ok,2934,4663,7597,6406,3,0.6666666666666666
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__a7a5e8ed__a708f39ce67a,ok,6072,2091,8163,6736,1,0.0
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__01527b89__06fd4df41afb,ok,4157,1664,5821,4816,4,0.5
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__1ad7449c__de32fe83a2e4,ok,5720,1988,7708,6332,1,1.0
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__ac705f35__5e04e84d67da,ok,4678,3554,8232,5918,1,1.0
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__1c5aa714__8c3bd0b708b4,ok,6681,3454,10135,9439,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__31d4fe9d__6a5ef557f80a,ok,6159,852,7011,6463,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__0006beec__4e8121e8e42a,ok,5595,1002,6597,6275,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__c20c3c4f__004b4620f6f4,ok,2153,397,2550,2365,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__994d041f__d89f976bddb4,ok,4637,4320,8957,7446,2,0.5
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__a5ec0eec__a754b82dac51,ok,3800,2373,6173,4623,2,0.5
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__b10492be__e1d673c373a7,ok,4933,4937,9870,5691,2,0.5
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__d105d187__dd528cb2cefc,ok,4676,4460,9136,5446,1,1.0
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__0b74a2c7__a7e7043c8746,ok,4315,2384,6699,5222,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__2e3d6eae__361bb8f786f1,ok,5673,3258,8931,6947,1,1.0
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__dded0f96__e972620ada4f,ok,6974,1799,8773,7903,1,1.0
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__c9656d7a__71e7c8e73712,ok,5242,4702,9944,7189,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__fb07ed8b__770d3e6a4ce8,ok,3302,1427,4729,3804,1,0.0
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__6809df19__e0442a628eb4,ok,5077,4752,9829,6067,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__f667fa43__d90e34c61b27,ok,4137,3419,7556,4756,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__f3695f8d__9ffd4eae2ce7,ok,4103,4886,8989,6093,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__681ea2b6__884b4c27f506,ok,5799,530,6329,6101,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__fd8123b1__694cf458f16b,ok,5755,2092,7847,7279,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__5c1509d5__647480166bfe,ok,3580,2498,6078,4185,3,0.3333333333333333
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__4e7b7c81__8c0886b068ba,ok,5817,1651,7468,6598,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__2ab7d0fc__5eb6a2b33d70,ok,4791,2824,7615,5293,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__60bc9e86__37c5b8c07be1,ok,5342,4573,9915,5644,0,
contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__2ccbdc72__63884829acd2,ok,3319,1044,4363,3778,0,
