instance_id,status,file_recall,file_precision,used_tokens,nontrivial_file_recall,repo,language
swebench_verified::astropy__astropy-13033,ok,1.0,1.0,717,,astropy/astropy,python
swebench_verified::astropy__astropy-7166,ok,0.0,0.0,0,,astropy/astropy,python
swebench_verified::astropy__astropy-13453,ok,1.0,1.0,3566,,astropy/astropy,python
swebench_verified::astropy__astropy-7606,ok,0.0,0.0,0,,astropy/astropy,python
swebench_verified::astropy__astropy-13579,ok,1.0,1.0,2631,,astropy/astropy,python
swebench_verified::astropy__astropy-14096,ok,0.0,0.0,0,,astropy/astropy,python
swebench_verified::astropy__astropy-13236,ok,0.0,0.0,0,,astropy/astropy,python
swebench_verified::astropy__astropy-14598,ok,0.0,0.0,0,,astropy/astropy,python
swebench_verified::astropy__astropy-14365,ok,1.0,1.0,5092,,astropy/astropy,python
swebench_verified::astropy__astropy-13977,ok,0.0,0.0,0,,astropy/astropy,python
swebench_verified::astropy__astropy-7336,ok,1.0,1.0,1688,,astropy/astropy,python
swebench_verified::astropy__astropy-13398,ok,1.0,1.0,7350,,astropy/astropy,python
swebench_verified::astropy__astropy-14508,ok,0.0,0.0,0,,astropy/astropy,python
swebench_verified::astropy__astropy-14182,ok,1.0,1.0,612,,astropy/astropy,python
swebench_verified::astropy__astropy-14539,ok,0.0,0.0,0,,astropy/astropy,python
swebench_verified::astropy__astropy-8707,ok,0.0,0.0,0,,astropy/astropy,python
swebench_verified::astropy__astropy-14309,ok,1.0,1.0,3925,,astropy/astropy,python
swebench_verified::astropy__astropy-7671,ok,1.0,1.0,2988,,astropy/astropy,python
swebench_verified::astropy__astropy-14995,ok,1.0,1.0,6229,,astropy/astropy,python
swebench_verified::astropy__astropy-12907,ok,1.0,1.0,2416,,astropy/astropy,python
swebench_verified::astropy__astropy-8872,ok,0.0,0.0,0,,astropy/astropy,python
swebench_verified::astropy__astropy-14369,ok,1.0,1.0,4525,,astropy/astropy,python
swebench_verified::django__django-11740,ok,0.0,0.0,0,,django/django,python
swebench_verified::django__django-11885,ok,1.0,1.0,7216,,django/django,python
swebench_verified::django__django-14672,ok,1.0,1.0,2335,,django/django,python
swebench_verified::django__django-14787,ok,1.0,1.0,1409,,django/django,python
swebench_verified::django__django-16667,ok,0.0,0.0,0,,django/django,python
swebench_verified::django__django-11728,ok,1.0,1.0,2032,,django/django,python
swebench_verified::django__django-11880,ok,0.0,0.0,0,,django/django,python
swebench_verified::django__django-13658,ok,1.0,1.0,3515,,django/django,python
swebench_verified::django__django-14351,ok,1.0,1.0,5202,,django/django,python
swebench_verified::django__django-13112,ok,0.0,0.0,0,,django/django,python
swebench_verified::django__django-15278,ok,1.0,1.0,4256,,django/django,python
swebench_verified::django__django-15268,ok,1.0,1.0,6566,,django/django,python
swebench_verified::django__django-14725,ok,0.0,0.0,0,,django/django,python
swebench_verified::django__django-13925,ok,0.0,0.0,0,,django/django,python
swebench_verified::django__django-15572,ok,1.0,1.0,355,,django/django,python
swebench_verified::django__django-16819,ok,1.0,1.0,7928,,django/django,python
swebench_verified::django__django-16032,ok,0.5,1.0,1623,,django/django,python
swebench_verified::django__django-16662,ok,1.0,1.0,2308,,django/django,python
swebench_verified::django__django-16938,ok,1.0,1.0,5092,,django/django,python
swebench_verified::django__django-16454,ok,1.0,1.0,4912,,django/django,python
swebench_verified::django__django-14315,ok,1.0,1.0,670,,django/django,python
swebench_verified::django__django-14053,ok,1.0,1.0,3648,,django/django,python
swebench_verified::django__django-10554,ok,0.0,0.0,0,,django/django,python
swebench_verified::django__django-13195,ok,1.0,1.0,6544,,django/django,python
swebench_verified::django__django-16136,ok,1.0,1.0,1914,,django/django,python
swebench_verified::django__django-11265,ok,0.0,0.0,0,,django/django,python
swebench_verified::django__django-12754,ok,0.0,0.0,0,,django/django,python
swebench_verified::django__django-11433,ok,0.0,0.0,0,,django/django,python
swebench_verified::django__django-11400,ok,0.6666666666666666,1.0,5877,,django/django,python
swebench_verified::django__django-11179,ok,1.0,1.0,2781,,django/django,python
swebench_verified::django__django-13012,ok,0.0,0.0,0,,django/django,python
swebench_verified::django__django-15973,ok,0.0,0.0,0,,django/django,python
swebench_verified::django__django-16502,ok,1.0,1.0,2094,,django/django,python
swebench_verified::django__django-13569,ok,1.0,1.0,1273,,django/django,python
swebench_verified::django__django-13089,ok,1.0,1.0,2127,,django/django,python
swebench_verified::django__django-11276,ok,1.0,1.0,3128,,django/django,python
swebench_verified::django__django-16569,ok,1.0,1.0,4312,,django/django,python
swebench_verified::django__django-13128,ok,0.0,0.0,0,,django/django,python
swebench_verified::django__django-12325,ok,0.5,1.0,7091,,django/django,python
swebench_verified::django__django-13449,ok,0.0,0.0,0,,django/django,python
swebench_verified::django__django-15098,ok,1.0,1.0,4391,,django/django,python
swebench_verified::django__django-12308,ok,1.0,1.0,4189,,django/django,python
swebench_verified::django__django-15277,ok,0.0,0.0,0,,django/django,python
swebench_verified::django__django-12406,ok,0.0,0.0,0,,django/django,python
swebench_verified::django__django-14155,ok,1.0,1.0,5653,,django/django,python
