instance_id,status,file_recall,file_precision,used_tokens,nontrivial_file_recall,repo,language
contextbench_verified::Multi-SWE-Bench__rust__maintenance__bugfix__c363219b__4858267f3b97,ok,1.0,0.07692307692307693,5877,,BurntSushi/ripgrep,rust
contextbench_verified::SWE-PolyBench__python__maintenance__bugfix__ed58622a__9150f32f8b86,ok,1.0,0.058823529411764705,6279,,Significant-Gravitas/AutoGPT,python
contextbench_verified::Multi-SWE-Bench__java__maintenance__bugfix__8b7cc5e0__12b40c7ba3e7,ok,1.0,0.16666666666666666,3532,,alibaba/fastjson2,java
contextbench_verified::Multi-SWE-Bench__java__maintenance__bugfix__ef567ef1__45cc6b34343b,ok,1.0,0.16666666666666666,5092,,alibaba/fastjson2,java
contextbench_verified::SWE-Bench-Pro__python__maintenance__bugfix__9c878ad5__016b7f71b105,ok,1.0,0.2,6214,,ansible/ansible,python
contextbench_verified::SWE-Bench-Pro__javascript__maintenance__bugfix__7b6185af__a2ebf53b6098,ok,0.6666666666666666,0.7692307692307693,3970,0.16666666666666666,NodeBB/NodeBB,javascript
contextbench_verified::SWE-Bench-Pro__python__maintenance__bugfix__0c4f8d13__1503805b7037,ok,1.0,0.7142857142857143,6995,1.0,ansible/ansible,python
contextbench_verified::SWE-Bench-Pro__python__maintenance__bugfix__84fdadf0__173325329733,ok,1.0,0.5714285714285714,6672,,ansible/ansible,python
contextbench_verified::SWE-Bench-Pro__python__maintenance__bugfix__5ec14acf__20ec92728004,ok,0.6666666666666666,0.3333333333333333,4107,0.5,ansible/ansible,python
contextbench_verified::SWE-Bench-Pro__python__maintenance__bugfix__739b23db__252685092cac,ok,1.0,0.75,6747,,ansible/ansible,python
contextbench_verified::SWE-Bench-Pro__python__maintenance__bugfix__450d75e0__35809806d3ab,ok,0.6,0.13043478260869565,6369,0.0,ansible/ansible,python
contextbench_verified::SWE-Bench-Pro__javascript__maintenance__bugfix__e31ec45c__f0d989e4ba5b,ok,0.5454545454545454,0.42857142857142855,3075,0.0,NodeBB/NodeBB,javascript
contextbench_verified::SWE-Bench-Pro__python__maintenance__bugfix__b9f9961f__375d3889de9f,ok,0.4444444444444444,1.0,6086,0.0,ansible/ansible,python
contextbench_verified::SWE-Bench-Pro__python__maintenance__bugfix__31f13b61__3684b4824d36,ok,0.7777777777777778,0.4375,6453,0.0,ansible/ansible,python
contextbench_verified::SWE-Bench-Pro__python__maintenance__bugfix__62badbbf__38067860e271,ok,1.0,0.5,4937,,ansible/ansible,python
contextbench_verified::SWE-Bench-Pro__python__maintenance__bugfix__512d556b__662d34b9a7a1,ok,1.0,0.5,6363,,ansible/ansible,python
contextbench_verified::SWE-Bench-Pro__python__maintenance__bugfix__1cae51cc__6382ea168a93,ok,0.6428571428571429,0.75,6033,0.0,ansible/ansible,python
contextbench_verified::SWE-Bench-Pro__python__maintenance__bugfix__cf01f471__7fff40865236,ok,0.6,0.25,5953,0.3333333333333333,ansible/ansible,python
contextbench_verified::SWE-Bench-Pro__python__maintenance__bugfix__6ebb54dc__6d34eb88d95c,ok,0.7142857142857143,1.0,7077,,ansible/ansible,python
contextbench_verified::SWE-Bench-Pro__python__maintenance__bugfix__e6efdd87__96c19724394a,ok,0.5,0.42857142857142855,5479,0.14285714285714285,ansible/ansible,python
