instance_id,status,file_recall,file_precision,used_tokens,nontrivial_file_recall,repo,language
swebench_verified::astropy__astropy-13453,ok,1.0,0.25,6353,,astropy/astropy,python
swebench_verified::astropy__astropy-7166,ok,1.0,0.14285714285714285,5495,,astropy/astropy,python
swebench_verified::astropy__astropy-7606,ok,1.0,0.5,591,,astropy/astropy,python
swebench_verified::astropy__astropy-13033,ok,1.0,0.1,828,,astropy/astropy,python
swebench_verified::astropy__astropy-13579,ok,1.0,0.25,3272,,astropy/astropy,python
swebench_verified::astropy__astropy-14096,ok,1.0,0.07142857142857142,5866,,astropy/astropy,python
swebench_verified::astropy__astropy-13398,ok,1.0,0.26666666666666666,6714,,astropy/astropy,python
swebench_verified::astropy__astropy-7336,ok,1.0,0.25,3540,,astropy/astropy,python
swebench_verified::astropy__astropy-13977,ok,1.0,0.5,4672,,astropy/astropy,python
swebench_verified::astropy__astropy-13236,ok,1.0,0.3333333333333333,4517,,astropy/astropy,python
swebench_verified::astropy__astropy-7671,ok,1.0,0.3333333333333333,3577,,astropy/astropy,python
swebench_verified::astropy__astropy-14182,ok,1.0,0.2,6250,,astropy/astropy,python
swebench_verified::astropy__astropy-14995,ok,1.0,0.5,6463,,astropy/astropy,python
swebench_verified::astropy__astropy-8707,ok,1.0,1.0,5581,,astropy/astropy,python
swebench_verified::astropy__astropy-8872,ok,1.0,0.3333333333333333,3574,,astropy/astropy,python
swebench_verified::astropy__astropy-14365,ok,1.0,0.1,6498,,astropy/astropy,python
swebench_verified::astropy__astropy-14369,ok,1.0,0.3333333333333333,6819,,astropy/astropy,python
swebench_verified::astropy__astropy-14598,ok,1.0,0.25,5916,,astropy/astropy,python
swebench_verified::astropy__astropy-14508,ok,1.0,0.05555555555555555,5759,,astropy/astropy,python
swebench_verified::astropy__astropy-14539,ok,1.0,0.5,6317,,astropy/astropy,python
swebench_verified::django__django-14672,ok,1.0,0.3333333333333333,3857,,django/django,python
swebench_verified::django__django-11740,ok,1.0,0.25,6438,,django/django,python
swebench_verified::django__django-14787,ok,1.0,0.3333333333333333,1282,,django/django,python
swebench_verified::astropy__astropy-14309,ok,1.0,0.3333333333333333,2773,,astropy/astropy,python
swebench_verified::astropy__astropy-12907,ok,1.0,0.058823529411764705,6535,,astropy/astropy,python
swebench_verified::django__django-11728,ok,1.0,0.2,2245,,django/django,python
swebench_verified::django__django-16667,ok,1.0,0.5,4404,,django/django,python
swebench_verified::django__django-11885,ok,1.0,0.08,6256,,django/django,python
swebench_verified::django__django-11880,ok,1.0,0.06666666666666667,4795,,django/django,python
swebench_verified::django__django-15278,ok,1.0,0.1111111111111111,6394,,django/django,python
swebench_verified::django__django-15268,ok,1.0,0.125,3667,,django/django,python
swebench_verified::django__django-14351,ok,1.0,0.16666666666666666,3951,,django/django,python
swebench_verified::django__django-13658,ok,1.0,0.0625,5685,,django/django,python
swebench_verified::django__django-13112,ok,1.0,0.25,4955,,django/django,python
swebench_verified::django__django-15572,ok,1.0,0.25,2405,,django/django,python
swebench_verified::django__django-14725,ok,1.0,0.25,4628,,django/django,python
swebench_verified::django__django-16819,ok,1.0,0.3333333333333333,3833,,django/django,python
swebench_verified::django__django-16032,ok,1.0,0.15384615384615385,5518,,django/django,python
swebench_verified::django__django-16938,ok,1.0,0.07692307692307693,5514,,django/django,python
swebench_verified::django__django-16662,ok,1.0,0.25,1671,,django/django,python
swebench_verified::django__django-13925,ok,1.0,0.25,5247,,django/django,python
swebench_verified::django__django-16454,ok,1.0,0.25,1624,,django/django,python
swebench_verified::django__django-10554,ok,1.0,0.6666666666666666,5196,,django/django,python
swebench_verified::django__django-14053,ok,1.0,0.14285714285714285,4370,,django/django,python
swebench_verified::django__django-14315,ok,1.0,0.05714285714285714,5862,,django/django,python
swebench_verified::django__django-13195,ok,1.0,0.6,4327,,django/django,python
swebench_verified::django__django-12754,ok,1.0,0.2,5995,,django/django,python
swebench_verified::django__django-16136,ok,1.0,0.25,1736,,django/django,python
swebench_verified::django__django-11179,ok,1.0,0.03571428571428571,5820,,django/django,python
swebench_verified::django__django-11265,ok,1.0,0.5,5830,,django/django,python
swebench_verified::django__django-13569,ok,1.0,0.2,2920,,django/django,python
swebench_verified::django__django-13012,ok,1.0,0.25,3358,,django/django,python
swebench_verified::django__django-16502,ok,1.0,0.07142857142857142,5922,,django/django,python
swebench_verified::django__django-11433,ok,1.0,0.07142857142857142,3946,,django/django,python
swebench_verified::django__django-11400,ok,1.0,1.0,3996,,django/django,python
swebench_verified::django__django-15973,ok,1.0,0.1,6055,,django/django,python
swebench_verified::django__django-13089,ok,1.0,0.038461538461538464,5713,,django/django,python
swebench_verified::django__django-15098,ok,1.0,0.06666666666666667,6449,,django/django,python
swebench_verified::django__django-11276,ok,1.0,0.09090909090909091,2906,,django/django,python
swebench_verified::django__django-16569,ok,1.0,0.25,1828,,django/django,python
swebench_verified::django__django-13449,ok,1.0,0.16666666666666666,3922,,django/django,python
swebench_verified::django__django-12325,ok,1.0,0.3333333333333333,5302,,django/django,python
swebench_verified::django__django-13128,ok,1.0,0.25,3397,,django/django,python
swebench_verified::django__django-14155,ok,1.0,0.04,5237,,django/django,python
swebench_verified::django__django-12308,ok,1.0,0.125,4206,,django/django,python
swebench_verified::django__django-15277,ok,1.0,0.3333333333333333,4431,,django/django,python
swebench_verified::django__django-11951,ok,1.0,0.5,4721,,django/django,python
swebench_verified::django__django-14238,ok,1.0,0.25,3715,,django/django,python
swebench_verified::django__django-11749,ok,1.0,0.1,5817,,django/django,python
swebench_verified::django__django-16263,ok,1.0,1.0,4992,,django/django,python
swebench_verified::django__django-15252,ok,1.0,0.14285714285714285,3279,,django/django,python
swebench_verified::django__django-10999,ok,1.0,0.058823529411764705,6353,,django/django,python
swebench_verified::django__django-12406,ok,1.0,0.6666666666666666,4302,,django/django,python
swebench_verified::django__django-13315,ok,1.0,0.1,4988,,django/django,python
swebench_verified::django__django-15863,ok,1.0,0.3333333333333333,5228,,django/django,python
swebench_verified::django__django-14580,ok,1.0,0.05555555555555555,4792,,django/django,python
swebench_verified::django__django-16485,ok,1.0,0.3333333333333333,5228,,django/django,python
swebench_verified::django__django-12193,ok,1.0,0.5,4102,,django/django,python
swebench_verified::django__django-13837,ok,1.0,1.0,1105,,django/django,python
swebench_verified::django__django-16801,ok,1.0,0.043478260869565216,5474,,django/django,python
swebench_verified::django__django-13810,ok,1.0,0.14285714285714285,2124,,django/django,python
swebench_verified::django__django-12965,ok,1.0,0.1111111111111111,6384,,django/django,python
swebench_verified::django__django-16255,ok,1.0,0.0625,5933,,django/django,python
swebench_verified::django__django-13933,ok,1.0,1.0,2300,,django/django,python
swebench_verified::django__django-12708,ok,1.0,0.2,5892,,django/django,python
swebench_verified::django__django-13401,ok,1.0,0.05555555555555555,5111,,django/django,python
swebench_verified::django__django-14855,ok,1.0,0.1,5431,,django/django,python
swebench_verified::django__django-14771,ok,1.0,1.0,2708,,django/django,python
swebench_verified::django__django-17087,ok,1.0,0.125,5146,,django/django,python
swebench_verified::django__django-14140,ok,1.0,0.047619047619047616,5727,,django/django,python
swebench_verified::django__django-14017,ok,1.0,0.037037037037037035,5743,,django/django,python
swebench_verified::django__django-11066,ok,1.0,0.047619047619047616,6560,,django/django,python
swebench_verified::django__django-12741,ok,1.0,0.5,4989,,django/django,python
swebench_verified::django__django-14765,ok,1.0,0.2,5400,,django/django,python
swebench_verified::django__django-12304,ok,1.0,0.06666666666666667,6573,,django/django,python
swebench_verified::django__django-12276,ok,1.0,0.25,3979,,django/django,python
swebench_verified::django__django-16560,ok,1.0,0.18181818181818182,5357,,django/django,python
swebench_verified::django__django-13410,ok,1.0,0.25,1722,,django/django,python
swebench_verified::django__django-12143,ok,1.0,0.3333333333333333,5190,,django/django,python
swebench_verified::django__django-11333,ok,1.0,0.2,4741,,django/django,python
swebench_verified::django__django-11206,ok,1.0,0.038461538461538464,6146,,django/django,python
swebench_verified::django__django-16612,ok,1.0,0.06666666666666667,5628,,django/django,python
swebench_verified::django__django-12039,ok,1.0,0.125,2497,,django/django,python
swebench_verified::django__django-16116,ok,1.0,0.5,5852,,django/django,python
swebench_verified::django__django-15554,ok,1.0,0.25,5952,,django/django,python
swebench_verified::django__django-14311,ok,1.0,1.0,2658,,django/django,python
swebench_verified::django__django-11141,ok,1.0,0.07692307692307693,6276,,django/django,python
swebench_verified::django__django-12209,ok,1.0,1.0,4028,,django/django,python
swebench_verified::django__django-12713,ok,1.0,0.07692307692307693,5515,,django/django,python
swebench_verified::django__django-14434,ok,1.0,0.1111111111111111,5640,,django/django,python
swebench_verified::django__django-15814,ok,1.0,0.16666666666666666,3982,,django/django,python
swebench_verified::django__django-14007,ok,1.0,0.05555555555555555,5750,,django/django,python
swebench_verified::django__django-16333,ok,1.0,0.16666666666666666,3403,,django/django,python
swebench_verified::django__django-15695,ok,1.0,0.2,3149,,django/django,python
swebench_verified::django__django-13513,ok,1.0,0.1111111111111111,4855,,django/django,python
swebench_verified::django__django-15930,ok,1.0,0.2,3749,,django/django,python
swebench_verified::django__django-15315,ok,1.0,0.05,5358,,django/django,python
swebench_verified::django__django-11299,ok,1.0,0.3333333333333333,5821,,django/django,python
swebench_verified::django__django-12262,ok,1.0,0.16666666666666666,2349,,django/django,python
swebench_verified::django__django-12774,ok,1.0,0.5,4797,,django/django,python
swebench_verified::django__django-14539,ok,1.0,0.2,2510,,django/django,python
swebench_verified::django__django-16429,ok,1.0,0.0625,3273,,django/django,python
swebench_verified::django__django-15629,ok,1.0,0.5714285714285714,6080,,django/django,python
swebench_verified::django__django-13279,ok,1.0,0.045454545454545456,4631,,django/django,python
swebench_verified::django__django-15561,ok,1.0,0.5,4638,,django/django,python
swebench_verified::django__django-14170,ok,1.0,1.0,4180,,django/django,python
swebench_verified::django__django-13363,ok,1.0,0.3333333333333333,5260,,django/django,python
swebench_verified::django__django-15380,ok,1.0,0.09090909090909091,5847,,django/django,python
swebench_verified::django__django-13590,ok,1.0,0.5,5273,,django/django,python
swebench_verified::django__django-14493,ok,1.0,0.2,3330,,django/django,python
swebench_verified::django__django-13417,ok,1.0,0.5,4615,,django/django,python
swebench_verified::django__django-16256,ok,1.0,1.0,7118,,django/django,python
swebench_verified::django__django-13028,ok,1.0,0.14285714285714285,6052,,django/django,python
swebench_verified::django__django-11551,ok,1.0,0.25,5480,,django/django,python
swebench_verified::django__django-13158,ok,1.0,0.1111111111111111,6108,,django/django,python
swebench_verified::django__django-15382,ok,1.0,1.0,3820,,django/django,python
swebench_verified::django__django-11095,ok,1.0,0.5,5307,,django/django,python
swebench_verified::django__django-15987,ok,1.0,0.3333333333333333,4247,,django/django,python
swebench_verified::django__django-16315,ok,1.0,0.5,4945,,django/django,python
swebench_verified::django__django-13551,ok,1.0,0.047619047619047616,5996,,django/django,python
swebench_verified::django__django-14608,ok,1.0,0.25,3576,,django/django,python
swebench_verified::django__django-12419,ok,1.0,0.05,7100,,django/django,python
swebench_verified::django__django-11087,ok,1.0,0.05,6238,,django/django,python
swebench_verified::django__django-10880,ok,1.0,0.25,1567,,django/django,python
swebench_verified::django__django-9296,ok,1.0,0.05263157894736842,5794,,django/django,python
