instance_id,status,file_recall,file_precision,used_tokens,nontrivial_file_recall,repo,language
polybench500::Significant-Gravitas__AutoGPT-4652,ok,0.0,0.0,7999,,Significant-Gravitas/AutoGPT,python
polybench500::apache__dubbo-3013,ok,0.0,0.0,8000,,apache/dubbo,java
polybench500::apache__dubbo-4521,ok,0.0,0.0,7999,,apache/dubbo,java
polybench500::apache__dubbo-5356,ok,0.0,0.0,8000,,apache/dubbo,java
polybench500::apache__dubbo-3093,apply_fail,0.0,0.0,0,,,java
polybench500::apache__dubbo-2750,ok,0.0,0.0,7998,,apache/dubbo,java
polybench500::apache__dubbo-11420,ok,0.0,0.0,7999,,apache/dubbo,java
polybench500::apache__dubbo-3590,ok,0.0,0.0,7999,,apache/dubbo,java
polybench500::apache__dubbo-8126,ok,0.0,0.0,7998,,apache/dubbo,java
polybench500::apache__dubbo-6551,ok,0.0,0.0,8000,,apache/dubbo,java
polybench500::apache__dubbo-10846,ok,0.0,0.0,8000,,apache/dubbo,java
polybench500::angular__angular-37484,ok,0.0,0.0,7999,,angular/angular,typescript
polybench500::angular__angular-37561,ok,0.0,0.0,8000,,angular/angular,typescript
polybench500::apache__dubbo-3855,ok,0.0,0.0,7998,,apache/dubbo,java
polybench500::apache__dubbo-3479,apply_fail,0.0,0.0,0,,,java
polybench500::apache__dubbo-8032,ok,0.0,0.0,7999,,apache/dubbo,java
polybench500::apache__dubbo-4660,ok,0.0,0.0,8000,,apache/dubbo,java
polybench500::apache__dubbo-4379,ok,0.0,0.0,7999,,apache/dubbo,java
polybench500::apache__dubbo-5783,ok,0.0,0.0,8000,,apache/dubbo,java
polybench500::apache__dubbo-7938,ok,0.0,0.0,7999,,apache/dubbo,java
polybench500::apache__dubbo-8623,apply_fail,0.0,0.0,0,,,java
polybench500::apache__dubbo-11255,ok,0.0,0.0,7999,,apache/dubbo,java
polybench500::apache__dubbo-4026,ok,0.0,0.0,8000,,apache/dubbo,java
polybench500::apache__dubbo-13869,ok,0.0,0.0,8000,,apache/dubbo,java
polybench500::apache__rocketmq-8051,ok,0.0,0.0,7994,,apache/rocketmq,java
polybench500::apache__rocketmq-516,ok,0.0,0.0,7961,,apache/rocketmq,java
polybench500::apache__dubbo-8029,ok,0.0,0.0,7999,,apache/dubbo,java
polybench500::apache__rocketmq-3862,ok,0.0,0.0,8000,,apache/rocketmq,java
polybench500::apache__rocketmq-1636,ok,0.0,0.0,7995,,apache/rocketmq,java
polybench500::apache__rocketmq-7544,ok,0.0,0.0,7996,,apache/rocketmq,java
polybench500::apache__rocketmq-3927,ok,0.0,0.0,7991,,apache/rocketmq,java
polybench500::apache__rocketmq-5062,ok,0.0,0.0,7981,,apache/rocketmq,java
polybench500::apache__rocketmq-7420,ok,0.0,0.0,7999,,apache/rocketmq,java
polybench500::apache__rocketmq-5834,ok,0.0,0.0,7989,,apache/rocketmq,java
polybench500::apache__rocketmq-6401,ok,0.0,0.0,7996,,apache/rocketmq,java
polybench500::apache__rocketmq-6755,ok,0.0,0.0,7997,,apache/rocketmq,java
polybench500::apache__rocketmq-7917,ok,0.0,0.0,7999,,apache/rocketmq,java
polybench500::apache__rocketmq-5865,ok,0.0,0.0,7999,,apache/rocketmq,java
