method,budget,depth,test_set,instance_id,status,apply_mode,language,file_recall,file_precision,fragment_recall,fragment_precision,line_f1,line_precision,line_recall,used_tokens,elapsed_seconds,n_gold,n_selected,fragment_count
aider,64000,-1,swebench_verified,swebench_verified::astropy__astropy-13579,ok,strict,python,1.0,0.004,,,,,,0,31.023974090999985,1,250,
aider,64000,-1,swebench_verified,swebench_verified::astropy__astropy-13453,ok,strict,python,1.0,0.0045045045045045045,,,,,,0,25.812866335999985,1,222,
aider,64000,-1,swebench_verified,swebench_verified::astropy__astropy-14096,ok,strict,python,1.0,0.0036363636363636364,,,,,,0,25.76942956700003,1,275,
aider,64000,-1,swebench_verified,swebench_verified::astropy__astropy-7166,ok,strict,python,1.0,0.004761904761904762,,,,,,0,26.797044798,1,210,
aider,64000,-1,swebench_verified,swebench_verified::astropy__astropy-13033,ok,strict,python,1.0,0.004484304932735426,,,,,,0,25.053311637000036,1,223,
bm25,64000,-1,swebench_verified,swebench_verified::astropy__astropy-13579,ok,strict,python,1.0,0.058823529411764705,,,,,,63980,5.673512761000012,1,17,
bm25,64000,-1,swebench_verified,swebench_verified::astropy__astropy-13453,ok,strict,python,1.0,0.09090909090909091,,,,,,63988,5.624600458000003,1,11,
bm25,64000,-1,swebench_verified,swebench_verified::astropy__astropy-14096,ok,strict,python,1.0,0.1111111111111111,,,,,,63998,5.725632797000003,1,9,
bm25,64000,-1,swebench_verified,swebench_verified::astropy__astropy-7166,ok,strict,python,1.0,0.09090909090909091,,,,,,63989,5.034657040000013,1,11,
bm25,64000,-1,swebench_verified,swebench_verified::astropy__astropy-13033,ok,strict,python,1.0,0.1,,,,,,63996,5.638607979,1,10,
ego,64000,-1,swebench_verified,swebench_verified::astropy__astropy-13579,ok,strict,python,1.0,0.125,,,,,,12440,5.660058343000003,1,8,46
ego,64000,-1,swebench_verified,swebench_verified::astropy__astropy-13453,ok,strict,python,1.0,0.03571428571428571,,,,,,20592,4.872304294999992,1,28,93
ego,64000,-1,swebench_verified,swebench_verified::astropy__astropy-14096,ok,strict,python,1.0,0.01282051282051282,,,,,,55655,5.3692137749999915,1,78,202
ego,64000,-1,swebench_verified,swebench_verified::astropy__astropy-7166,ok,strict,python,1.0,0.011904761904761904,,,,,,47678,3.6875669520000542,1,84,185
ego,64000,-1,swebench_verified,swebench_verified::astropy__astropy-13033,ok,strict,python,1.0,0.043478260869565216,,,,,,20329,4.836962385000049,1,23,72
internal-bm25,64000,-1,swebench_verified,swebench_verified::astropy__astropy-13579,ok,strict,python,1.0,0.05,,,,,,5520,3.24583389499999,1,20,43
internal-bm25,64000,-1,swebench_verified,swebench_verified::astropy__astropy-13453,ok,strict,python,1.0,0.02631578947368421,,,,,,8911,3.0207995200000113,1,38,100
internal-bm25,64000,-1,swebench_verified,swebench_verified::astropy__astropy-14096,ok,strict,python,1.0,0.03333333333333333,,,,,,4650,3.238781179,1,30,52
internal-bm25,64000,-1,swebench_verified,swebench_verified::astropy__astropy-7166,ok,strict,python,1.0,0.023255813953488372,,,,,,2502,2.2107335050000074,1,43,58
internal-bm25,64000,-1,swebench_verified,swebench_verified::astropy__astropy-13033,ok,strict,python,1.0,0.004424778761061947,,,,,,39525,2.9518580760000077,1,226,602
pit,64000,-1,swebench_verified,swebench_verified::astropy__astropy-13579,ok,strict,python,1.0,0.08333333333333333,,,,,,15717,6.066718339000005,1,12,52
pit,64000,-1,swebench_verified,swebench_verified::astropy__astropy-13453,ok,strict,python,1.0,0.02857142857142857,,,,,,27984,5.550418048000012,1,35,167
pit,64000,-1,swebench_verified,swebench_verified::astropy__astropy-14096,ok,strict,python,1.0,0.006369426751592357,,,,,,49979,6.065792673000004,1,157,334
pit,64000,-1,swebench_verified,swebench_verified::astropy__astropy-7166,ok,strict,python,1.0,0.008928571428571428,,,,,,51788,4.136662809000001,1,112,297
pit,64000,-1,swebench_verified,swebench_verified::astropy__astropy-13033,ok,strict,python,1.0,0.029411764705882353,,,,,,53651,5.5937148769999965,1,34,234
ppr,64000,-1,swebench_verified,swebench_verified::astropy__astropy-13579,ok,strict,python,1.0,0.2,,,,,,10584,4.7920573159999975,1,5,45
ppr,64000,-1,swebench_verified,swebench_verified::astropy__astropy-13453,ok,strict,python,1.0,0.04,,,,,,25839,4.377935487000002,1,25,87
ppr,64000,-1,swebench_verified,swebench_verified::astropy__astropy-14096,ok,strict,python,1.0,0.034482758620689655,,,,,,25380,4.6989402290000015,1,29,106
ppr,64000,-1,swebench_verified,swebench_verified::astropy__astropy-7166,ok,strict,python,1.0,0.02857142857142857,,,,,,25850,3.3055983409999925,1,35,99
ppr,64000,-1,swebench_verified,swebench_verified::astropy__astropy-13033,ok,strict,python,1.0,0.1,,,,,,6890,4.424955023999999,1,10,17
rrf,64000,-1,swebench_verified,swebench_verified::astropy__astropy-13579,ok,strict,python,1.0,0.07142857142857142,,,,,,14832,6.39575164099999,1,14,55
rrf,64000,-1,swebench_verified,swebench_verified::astropy__astropy-13453,ok,strict,python,1.0,0.03333333333333333,,,,,,26319,5.668458791000006,1,30,116
rrf,64000,-1,swebench_verified,swebench_verified::astropy__astropy-14096,ok,strict,python,1.0,0.009259259259259259,,,,,,53500,6.060013543999986,1,108,245
rrf,64000,-1,swebench_verified,swebench_verified::astropy__astropy-7166,ok,strict,python,1.0,0.011494252873563218,,,,,,45565,4.469279415999978,1,87,182
rrf,64000,-1,swebench_verified,swebench_verified::astropy__astropy-13033,ok,strict,python,1.0,0.025,,,,,,42593,5.869810760000007,1,40,170
