method,budget,depth,test_set,n_instances,n_ok,mean_file_recall,mean_file_precision,mean_file_f1,mean_file_f2,mean_file_f0_5,mean_fragment_recall,mean_fragment_precision,mean_fragment_f1,mean_line_f1,mean_line_f1_given_file_hit,n_with_fragment_gold,recall_perfect_pct,recall_zero_pct,recall_partial_pct,recall_std,n_selected_p50,n_selected_p95,n_gold_p50,fragment_count_p50,fragment_count_p95,mean_used_tokens,tokens_p50,tokens_p95,tokens_p99,mean_elapsed_seconds,elapsed_p50,elapsed_p95,elapsed_p99,git_sha,started_at_utc,mean_line_precision,mean_line_recall,n_with_line_gold
aider,128000,-1,contextbench_verified,494,489,0.8034101810169628,0.008261031558197464,0.015956739856707293,0.03657634307940209,0.0102329410362847,,,,,,,60.121457489878544,5.870445344129554,34.008097165991906,0.2987114078124279,433.0,953.5999999999999,2.0,,,117756.1012145749,124885.5,147307.84999999998,152702.52000000002,45.53326362857896,20.619975875499904,341.2999758050992,440.8247279587199,eec72bd8b54c2c330f678a4f388bc43d0274eeb6,2026-09-16T21:58:58Z,,,
aider,128000,-1,polybench500,500,459,0.5905797360115842,0.004168221228710641,0.008135442271807276,0.01914467744273165,0.0051770042794156475,,,,,,,44.2,25.2,30.6,0.4176675724098774,473.0,1634.1000000000001,2.0,,,99172.626,122904.0,144546.34999999998,150811.00999999998,43.25969917060801,20.752934994999578,127.6595794299495,438.3452538161499,eec72bd8b54c2c330f678a4f388bc43d0274eeb6,2026-09-16T22:37:09Z,,,
aider,128000,-1,swebench_verified,500,500,0.9691666666666666,0.0033596768624612494,0.006664422984632565,0.016279205485636904,0.004190881729030189,,,,,,,95.6,2.0,2.4,0.15530212490497353,520.5,705.05,1.0,,,124792.078,125812.5,148794.99999999997,151999.91999999998,16.951002671733985,19.37848677799957,26.31085044919959,28.909584494020223,eec72bd8b54c2c330f678a4f388bc43d0274eeb6,2026-09-16T23:10:25Z,,,
aider,16000,-1,contextbench_verified,494,462,0.5207921222814416,0.0169155394306528,0.03126678820278735,0.06633689736637394,0.02066857825654861,,,,,,,34.61538461538461,26.31578947368421,39.068825910931174,0.4116532308954371,102.0,282.7999999999997,2.0,,,14771.342105263158,15639.5,18109.1,18696.38,31.080103053591092,14.697668494500022,102.96815781320001,432.5335371971898,eec72bd8b54c2c330f678a4f388bc43d0274eeb6,2026-09-16T21:30:30Z,,,
aider,16000,-1,polybench500,500,460,0.38212581074755997,0.009823924583395267,0.01866637817730037,0.041192525808206516,0.012115661825208542,,,,,,,28.2,46.8,25.0,0.43114178788564045,95.5,243.04999999999995,2.0,,,14069.42,15764.0,18109.45,18757.56,37.085776011720014,14.938409595999929,123.02755318419943,426.31002754854984,eec72bd8b54c2c330f678a4f388bc43d0274eeb6,2026-09-16T22:03:49Z,,,
aider,16000,-1,swebench_verified,500,500,0.8163666666666667,0.00927418460974817,0.018228460404006743,0.043486233501398894,0.011541080268946189,,,,,,,78.6,16.0,5.4,0.3704747989629884,120.0,183.0,1.0,,,15936.572,16018.5,18157.75,18684.190000000002,17.740072833109966,20.893681828499666,25.181696422700444,28.369848518929786,eec72bd8b54c2c330f678a4f388bc43d0274eeb6,2026-09-16T22:43:09Z,,,
aider,32000,-1,contextbench_verified,494,472,0.632839011081311,0.013456215346485959,0.025320697275344223,0.055779995411262585,0.01652561884653367,,,,,,,45.34412955465587,17.611336032388664,37.044534412955464,0.3942495414427082,163.5,346.0499999999999,2.0,,,29622.186234817815,31611.0,36229.1,37695.82,37.928985749048586,17.019153861999996,165.06835257824923,429.44858986616015,eec72bd8b54c2c330f678a4f388bc43d0274eeb6,2026-09-16T21:30:30Z,,,
aider,32000,-1,polybench500,500,461,0.4350933173178058,0.007117788959266333,0.013739821119380493,0.03138343130224377,0.008815694613329586,,,,,,,32.0,40.4,27.6,0.4345639210928733,161.0,497.0,2.0,,,26617.08,31325.5,35806.799999999996,37149.689999999995,40.055152336743994,17.564577087499856,125.24971389364985,417.11575349658966,eec72bd8b54c2c330f678a4f388bc43d0274eeb6,2026-09-16T22:07:10Z,,,
aider,32000,-1,swebench_verified,500,498,0.885547619047619,0.006523413523267042,0.012888931621061517,0.031153470173205914,0.008129045192201048,,,,,,,86.2,9.6,4.2,0.30301232453625,199.0,288.15,1.0,,,31892.722,32328.5,36199.649999999994,37062.04,18.98234372216998,21.914508211999873,26.80944787340008,30.329370816090155,eec72bd8b54c2c330f678a4f388bc43d0274eeb6,2026-09-16T22:54:15Z,,,
aider,64000,-1,contextbench_verified,494,482,0.7250233841239243,0.010361743168035674,0.019889867334562397,0.04501936349232018,0.0128127113784613,,,,,,,52.22672064777328,10.323886639676113,37.449392712550605,0.34690451918663673,279.0,578.8999999999999,2.0,,,60305.46153846154,63535.5,72949.54999999999,76135.78,41.673433620036434,20.121354008499964,225.25300216724844,446.61986545075996,eec72bd8b54c2c330f678a4f388bc43d0274eeb6,2026-09-16T21:30:30Z,,,
aider,64000,-1,polybench500,500,461,0.5106180754443206,0.005274038223275044,0.01026586888720183,0.02395441575769194,0.006546145234649578,,,,,,,38.4,32.2,29.4,0.4342292551785548,279.0,986.0,2.0,,,51524.518,61796.5,72504.45,76052.45,42.40564158971799,19.176052353499927,125.48848937825002,418.56853572856005,eec72bd8b54c2c330f678a4f388bc43d0274eeb6,2026-09-16T22:32:26Z,,,
aider,64000,-1,swebench_verified,500,498,0.9335,0.00469609029706452,0.009302820747290793,0.022638843822747008,0.005855918544343814,,,,,,,91.6,5.2,3.2,0.23370797304898835,326.0,447.15,1.0,,,62861.446,63583.0,73505.05,76796.98,19.141016225330016,22.53616930349972,28.223279049949813,30.860256254430478,eec72bd8b54c2c330f678a4f388bc43d0274eeb6,2026-09-16T23:00:12Z,,,
aider,8000,-1,contextbench_verified,494,473,0.42846058030786777,0.022440833352038173,0.040050351031468784,0.07999395878778083,0.0271508582435654,,,,,,,27.93522267206478,34.61538461538461,37.449392712550605,0.41272454294706556,59.0,113.0,2.0,,,7662.3400809716595,7938.0,9015.099999999999,9246.92,31.724875341170044,13.859601363999957,112.79106043269971,453.78460705416984,eec72bd8b54c2c330f678a4f388bc43d0274eeb6,2026-09-16T21:30:30Z,,,
aider,8000,-1,polybench500,500,460,0.3158437758320111,0.01347006454835118,0.02490958609321989,0.05219620780177043,0.016485517283614914,,,,,,,23.6,55.2,21.2,0.4175958140590903,55.0,133.0,2.0,,,7218.142,7827.0,9052.150000000001,9355.39,36.45450469532801,15.50731227450001,130.7029561459002,416.28280938604024,eec72bd8b54c2c330f678a4f388bc43d0274eeb6,2026-09-16T21:59:36Z,,,
aider,8000,-1,swebench_verified,500,500,0.6835619047619048,0.012840025834062537,0.025017041242241456,0.05837175791181708,0.01594181907382096,,,,,,,65.0,28.4,6.6,0.4478876776507512,70.0,109.0,1.0,,,7903.526,7861.5,9039.099999999999,9311.39,16.767693865461997,19.579732966999472,23.746531942900447,27.01855965267965,eec72bd8b54c2c330f678a4f388bc43d0274eeb6,2026-09-16T22:38:11Z,,,
