method,budget,depth,test_set,instance_id,status,apply_mode,language,file_recall,file_precision,fragment_recall,fragment_precision,line_f1,line_precision,line_recall,used_tokens,elapsed_seconds,n_gold,n_selected,fragment_count
aider,128000,-1,contextbench_verified,contextbench_verified::SWE-PolyBench__python__maintenance__bugfix__ed58622a__9150f32f8b86,ok,strict,python,1.0,0.007751937984496124,,,,,,23157,1.988319944000068,1,129,
aider,128000,-1,contextbench_verified,contextbench_verified::Multi-SWE-Bench__rust__maintenance__bugfix__c363219b__4858267f3b97,ok,strict,rust,1.0,0.012987012987012988,,,,,,143931,2.9182506899999225,1,77,
aider,128000,-1,contextbench_verified,contextbench_verified::SWE-Bench-Pro__javascript__maintenance__bugfix__e31ec45c__f0d989e4ba5b,ok,strict,javascript,0.8181818181818182,0.024324324324324326,,,,,,122759,16.00134748200003,11,370,
aider,128000,-1,contextbench_verified,contextbench_verified::SWE-Bench-Pro__javascript__maintenance__bugfix__ac8400d9__140f9d2481f7,ok,strict,javascript,0.7692307692307693,0.0273224043715847,,,,,,126970,16.482454299999972,13,366,
aider,128000,-1,contextbench_verified,contextbench_verified::SWE-Bench-Pro__javascript__maintenance__bugfix__4eb0e647__1e137b07052b,ok,strict,javascript,0.6875,0.029891304347826088,,,,,,122134,17.103541811000014,16,368,
aider,128000,-1,contextbench_verified,contextbench_verified::SWE-Bench-Pro__python__maintenance__bugfix__0c4f8d13__1503805b7037,ok,strict,python,0.6,0.003968253968253968,,,,,,137618,16.824360280000064,5,756,
aider,128000,-1,contextbench_verified,contextbench_verified::SWE-Bench-Pro__javascript__maintenance__bugfix__7b6185af__a2ebf53b6098,ok,strict,javascript,0.8666666666666667,0.03523035230352303,,,,,,123508,19.04757271199992,15,369,
aider,128000,-1,contextbench_verified,contextbench_verified::SWE-Bench-Pro__python__maintenance__bugfix__84fdadf0__173325329733,ok,strict,python,0.5,0.0024479804161566705,,,,,,132704,16.231441187999962,4,817,
aider,128000,-1,contextbench_verified,contextbench_verified::SWE-Bench-Pro__python__maintenance__bugfix__9c878ad5__016b7f71b105,ok,strict,python,1.0,0.002570694087403599,,,,,,138538,19.55992393700012,2,778,
aider,128000,-1,contextbench_verified,contextbench_verified::SWE-Bench-Pro__javascript__maintenance__bugfix__09eb0d6d__7800016f2f1b,ok,strict,javascript,0.2857142857142857,0.010443864229765013,,,,,,118836,20.3934108630001,14,383,
aider,128000,-1,contextbench_verified,contextbench_verified::SWE-Bench-Pro__python__maintenance__bugfix__b9f9961f__375d3889de9f,ok,strict,python,0.6666666666666666,0.007263922518159807,,,,,,140526,15.178570190999835,9,826,
aider,128000,-1,contextbench_verified,contextbench_verified::SWE-Bench-Pro__python__maintenance__bugfix__739b23db__252685092cac,ok,strict,python,0.8333333333333334,0.006839945280437756,,,,,,126982,16.47036660799995,6,731,
aider,128000,-1,contextbench_verified,contextbench_verified::SWE-Bench-Pro__python__maintenance__bugfix__31f13b61__3684b4824d36,ok,strict,python,0.7777777777777778,0.008225616921269096,,,,,,142790,16.799619772999904,9,851,
aider,128000,-1,contextbench_verified,contextbench_verified::Multi-SWE-Bench__java__maintenance__bugfix__ef567ef1__45cc6b34343b,ok,strict,java,1.0,0.0020833333333333333,,,,,,124145,35.64740822099998,1,480,
aider,128000,-1,contextbench_verified,contextbench_verified::SWE-Bench-Pro__python__maintenance__bugfix__450d75e0__35809806d3ab,ok,strict,python,0.8,0.004932182490752158,,,,,,132789,19.288812089999965,5,811,
aider,128000,-1,contextbench_verified,contextbench_verified::Multi-SWE-Bench__java__maintenance__bugfix__8b7cc5e0__12b40c7ba3e7,ok,strict,java,1.0,0.002150537634408602,,,,,,112550,37.909327933999975,1,465,
aider,128000,-1,contextbench_verified,contextbench_verified::SWE-Bench-Pro__python__maintenance__bugfix__1cae51cc__6382ea168a93,ok,strict,python,0.42857142857142855,0.007772020725388601,,,,,,115577,18.636012548999815,14,772,
aider,128000,-1,contextbench_verified,contextbench_verified::SWE-Bench-Pro__python__maintenance__bugfix__512d556b__662d34b9a7a1,ok,strict,python,0.5,0.0024968789013732834,,,,,,130871,18.63011181800016,4,801,
aider,128000,-1,contextbench_verified,contextbench_verified::SWE-Bench-Pro__python__maintenance__bugfix__62badbbf__38067860e271,ok,strict,python,0.75,0.0037546933667083854,,,,,,140008,19.01020570100013,4,799,
aider,128000,-1,contextbench_verified,contextbench_verified::SWE-Bench-Pro__python__maintenance__bugfix__cf01f471__7fff40865236,ok,strict,python,0.6,0.0038560411311053984,,,,,,140134,18.132313303000046,5,778,
aider,128000,-1,contextbench_verified,contextbench_verified::SWE-Bench-Pro__python__maintenance__bugfix__7c4a11fb__9b0d2decb24b,ok,strict,python,0.6,0.0035842293906810036,,,,,,139055,16.94285011399984,5,837,
aider,128000,-1,contextbench_verified,contextbench_verified::SWE-Bench-Pro__python__maintenance__bugfix__e6efdd87__96c19724394a,ok,strict,python,0.8333333333333334,0.013089005235602094,,,,,,128160,18.122932068999944,12,764,
aider,128000,-1,contextbench_verified,contextbench_verified::SWE-Bench-Pro__python__maintenance__bugfix__6ebb54dc__6d34eb88d95c,ok,strict,python,0.7142857142857143,0.006180469715698393,,,,,,140368,19.733737074999908,7,809,
aider,128000,-1,contextbench_verified,contextbench_verified::SWE-Bench-Pro__python__maintenance__bugfix__942d0b14__8a175f59c939,ok,strict,python,0.8,0.014687882496940025,,,,,,132202,19.143198500000153,15,817,
aider,128000,-1,contextbench_verified,contextbench_verified::SWE-Bench-Pro__python__maintenance__bugfix__64469377__b6360dc5e068,ok,strict,python,0.4444444444444444,0.005201560468140442,,,,,,128235,17.189946097999837,9,769,
aider,128000,-1,contextbench_verified,contextbench_verified::SWE-Bench-Pro__python__maintenance__bugfix__4c132bfd__bddb9a7490b5,ok,strict,python,0.5,0.001282051282051282,,,,,,140539,17.57502404899992,2,780,
aider,128000,-1,contextbench_verified,contextbench_verified::SWE-Bench-Pro__python__maintenance__bugfix__e2b70931__a5a13246ce02,ok,strict,python,0.75,0.011494252873563218,,,,,,131127,18.773160654999856,12,783,
aider,128000,-1,contextbench_verified,contextbench_verified::SWE-Bench-Pro__python__maintenance__bugfix__5b2cf9bb__a6e671db2538,ok,strict,python,1.0,0.0036144578313253013,,,,,,146651,19.155370824999864,3,830,
aider,128000,-1,contextbench_verified,contextbench_verified::SWE-Bench-Pro__python__maintenance__bugfix__07bb383a__e889b1063f60,ok,strict,python,0.8571428571428571,0.008130081300813009,,,,,,129213,14.465177777999997,7,738,
aider,128000,-1,contextbench_verified,contextbench_verified::SWE-Bench-Pro__python__maintenance__bugfix__1bb5c0b0__bf98f031f3f5,ok,strict,python,0.4,0.002509410288582183,,,,,,128993,21.11168845899988,5,797,
aider,128000,-1,contextbench_verified,contextbench_verified::SWE-Bench-Pro__python__maintenance__bugfix__18d7bbbc__e094d48b1bdd,ok,strict,python,0.8181818181818182,0.00974025974025974,,,,,,153031,20.426357632999952,11,924,
aider,128000,-1,contextbench_verified,contextbench_verified::SWE-Bench-Pro__python__maintenance__bugfix__462b957d__dd44449b6ec4,ok,strict,python,0.5,0.0012106537530266344,,,,,,139980,20.846087330000046,2,826,
aider,128000,-1,contextbench_verified,contextbench_verified::Multi-SWE-Bench__javascript__maintenance__bugfix__98bbaed2__0abc70564746,ok,strict,javascript,0.5,0.04285714285714286,,,,,,26526,2.6089445449999857,6,70,
aider,128000,-1,contextbench_verified,contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__deb49033__6500928dc0e5,ok,strict,python,0.7,0.016826923076923076,,,,,,110877,27.839479300999983,10,416,
aider,128000,-1,contextbench_verified,contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__71f348da__0df94ff70979,ok,strict,python,1.0,0.0026595744680851063,,,,,,113386,29.415074000000004,1,376,
aider,128000,-1,contextbench_verified,contextbench_verified::Multi-SWE-Bench__cpp__maintenance__bugfix__e43d9aa5__979bbf03bb00,ok,strict,cpp,0.16666666666666666,0.004672897196261682,,,,,,94279,8.655002462000084,6,214,
aider,128000,-1,contextbench_verified,contextbench_verified::SWE-Bench-Verified__python__maintenance__bugfix__1d90db61__1a4462d72eb0,ok,strict,python,1.0,0.002857142857142857,,,,,,109816,31.65459010199993,1,350,
